語根A	面A	層A	FA	語根B	面B	層B	FB	字A	字B	IoU	blur	マーク差
rabd	枝ᴿ	PIV	3	teknik	技	CSV2890	26	枝	技	0.584	0.974	あり
rabd	枝ᴿ	PIV	3	inĝenier	技ᴵ	CSV2890	12	枝	技	0.584	0.974	あり
rabd	枝ᴿ	PIV	3	teknologi	技ᵀᴸ	CSV2890	7	枝	技	0.584	0.974	あり
rabd	枝ᴿ	PIV	3	lice	校	CSV2890	5	枝	校	0.458	0.950	あり
rabd	枝ᴿ	PIV	3	gimnazi	校ᴳ	CSV2890	4	枝	校	0.458	0.950	あり
preĝ	祈	CSV2890	18	plis	折ᴾ	PEJVO	3	祈	折	0.518	0.966	あり
preĝ	祈	CSV2890	18	analitik	析ᴬᵀ	PEJVO	3	祈	析	0.488	0.959	あり
akcident	祸	CSV2890	10	retort	锅ᴿ	PEJVO	3	祸	锅	0.495	0.959	あり
kontrol	检	CSV2890	33	embol	栓ᴱ	PEJVO	3	检	栓	0.505	0.950	あり
ekzamen	检ᴱ	CSV2890	31	embol	栓ᴱ	PEJVO	3	检	栓	0.505	0.950	なし
detekt	检ᴰ	PEJVO	12	embol	栓ᴱ	PEJVO	3	检	栓	0.505	0.950	あり
inspekt	检ᴵᴺ	PEJVO	7	embol	栓ᴱ	PEJVO	3	检	栓	0.505	0.950	あり
fald	折	CSV2890	36	analitik	析ᴬᵀ	PEJVO	3	折	析	0.520	0.960	あり
rabat	折ᴿ	CSV2890	10	analitik	析ᴬᵀ	PEJVO	3	折	析	0.520	0.960	あり
zigzag	折ᶻ	PEJVO	5	analitik	析ᴬᵀ	PEJVO	3	折	析	0.520	0.960	あり
refrakt	折ᴿᶠ	PEJVO	14	analitik	析ᴬᵀ	PEJVO	3	折	析	0.520	0.960	あり
plis	折ᴾ	PEJVO	3	analiz	析	CSV2890	13	折	析	0.520	0.960	あり
plis	折ᴾ	PEJVO	3	analitik	析ᴬᵀ	PEJVO	3	折	析	0.520	0.960	あり
gust	味	CSV2890	39	miaŭ	咪	CSV2890	3	味	咪	0.485	0.967	なし
patos	情ᴾᵀ	PEJVO	3	inert	惰	PEJVO	4	情	惰	0.534	0.956	あり
afekci	情ᴬ	PEJVO	3	inert	惰	PEJVO	4	情	惰	0.534	0.956	あり
patos	情ᴾᵀ	PEJVO	3	prudent	慎	CSV2890	12	情	慎	0.553	0.952	あり
afekci	情ᴬ	PEJVO	3	prudent	慎	CSV2890	12	情	慎	0.553	0.952	あり
parvenu	升ᴾⱽ	PEJVO	3	ŝalt	开	CSV2890	25	升	开	0.551	0.948	あり
parvenu	升ᴾⱽ	PEJVO	3	inaŭgur	开ᴵ	CSV2890	5	升	开	0.551	0.948	あり
parvenu	升ᴾⱽ	PEJVO	3	apert	开ᴬ	PEJVO	4	升	开	0.551	0.948	あり
stern	铺	CSV2890	8	debit	销ᴰ	PEJVO	3	铺	销	0.548	0.944	あり
pavim	铺ᴾ	PEJVO	8	debit	销ᴰ	PEJVO	3	铺	销	0.548	0.944	あり
s^ed	棚ˢ̂	PIV	3	kokos	椰	CSV2890	9	棚	椰	0.547	0.958	あり
kastel	城	CSV2890	9	sektor	域	PEJVO	3	城	域	0.485	0.966	なし
migr	迁	CSV2890	35	pedant	迂	PEJVO	3	迁	迂	0.498	0.969	なし
amator	好	CSV2890	8	kokr	奸	PEJVO	3	好	奸	0.507	0.954	なし
diletant	好ᴰ	PEJVO	4	kokr	奸	PEJVO	3	好	奸	0.507	0.954	あり
varb	募	CSV2890	7	kulis	幕ᴷ	PEJVO	3	募	幕	0.456	0.966	あり
kvest	募ᴷ	PIV	3	akt	幕	CSV2890	10	募	幕	0.456	0.966	あり
kvest	募ᴷ	PIV	3	kulis	幕ᴷ	PEJVO	3	募	幕	0.456	0.966	なし
ran	蛙	CSV2890	8	mitul	蚌ᴹ	PEJVO	3	蛙	蚌	0.543	0.970	あり
klor	氯	PEJVO	25	azot	氮ᴬ	PEJVO	3	氯	氮	0.479	0.960	あり
cirk	圈ᶜ	PEJVO	3	bed	圃	PEJVO	6	圈	圃	0.468	0.965	あり
meteor	陨	PEJVO	10	fini	限	PIV	3	陨	限	0.496	0.956	なし
meteor	陨	PEJVO	10	restrikt	限ᴿ	PIV	3	陨	限	0.496	0.956	あり
