r	rk	y	yk	r_gloss	y_gloss
registr	录	ton	调	［他］登録する,記載する,記録する,書留にする;《転》記憶にとどめる	{Ｂ}【楽】（一定の音高の）楽音,音;【楽】主音,=toniko;【楽】
reklamaci	诉	kompens	补	［自］不服を申し立てる,苦情を申し出る,=plendi	補償の,賠償の
relikv	遗物	sankt	圣	【宗】聖遺物;（聖者の）遺骨,遺品,=sanktrestaj^o;【生】	{Ｂ}【宗】神聖な,聖なる;《転》尊重すべき,神聖不可侵の
remiz	库	vetur	乘	［他］車庫に入れる,小屋に入れる	{Ｂ}［自］（乗り物で）行く;（乗り物が）行く,運行する
reporter	记者	raport	报	《稀》=raportisto（レポーター）	{Ｂ}［他］報告する,伝える;報道する;答申する
respons	责	respond	答	=respondeca（責任のある）	答えの,返答の;一致する,対応する;責任のある
resurekt	复活	rev	幻	［自］【キ】=revivig^i（復活する）	空想的な,夢のような
retret	退	ret	网	［自］【軍】=retirig^i（退却する）	網の,網状の;ネットワークの,インターネットの
rilaks	缓	rel	轨	【理】緩和,=relaso	{Ｂ}【鉄】レール,軌条;（手すりや柵の）横棒,横木
rip	肋	nerv	神经	{Ｂ}【解】肋骨（ろっこつ）,あばら骨;【植】葉脈,=nervuro;【	神経の;=nervoza（神経質な）
rong^	啃	mord	咬	{Ｏ}［他］かじる,=mordeti	かみつくような,辛らつな;【化】腐食性の
ruf	赤褐	flav	黄	《詩》=flavrug^a（赤褐色の）	{Ｂ}黄色い,黄色の
rur	乡	kamp	田	《詩》=kamparo（田園）	［自］キャンプする,野営する
sake	酒	riz	米	【料】酒,日本酒,=rizvino	{Ｂ}【植】イネ（稲）（種）;《般》米（粒）;【料】米飯,ライス
salping	卵管	ov	卵	【解】卵管,=ovodukto	{Ｂ}卵（たまご）,鶏卵;【生】卵（らん）,>>frajo
sangvin	乐	sang	血	（気質が）陽気な,楽天的な;多血質の,=sangoplena	血の,血液の;血まみれの,流血の;血の色をした
seks	性	genr	属	性の,性的な	{Ｏ}【Ｇ】性;【生】（分類学上の）属
sekundar	次	mez	中	【学】第二の,二次の,>>primara;《古》第二紀の,=mezozo	まん中の,中央の;中くらいの,中間の;並の,平均的な
semestr	期	jard	码	半期ごとの,半年ごとの,=jarduona	【単】ヤード（＝91.44cm）;【海】ヤード,帆桁（ほげた）,=vel
