# PEJVO層に残る未割当の生物名語根 = 384件
# 列: 語根 / 分野 / F(出現語数) / 代表語釈 / 出現語(最大6)
pavian	【動】	F=1	{Ｏ}【動】ヒヒ（狒々）（属）	pavian/o
pekari	【動】	F=1	【動】ペッカリー（科の総称）,ヘソイノシシ	pekari/o
poliandri	【動】	F=1	一妻多夫,=pluredzeco;【動】一雌多雄	poliandri/o
poligini	【動】	F=1	一夫多妻,=pluredzineco;【動】一雄多雌	poligini/o
polp	【動】	F=1	{Ｏ}【動】タコ（蛸）（目の総称）	polp/o
pudel	【動】	F=1	{Ｏ}【動】プードル,むく犬	pudel/o
reptili	【動】	F=1	【動】爬虫類（はちゅうるい）	reptili/oj
rosmar	【動】	F=1	{Ｏ}【動】セイウチ（海象）（種）,=marc^evalo	rosmar/o
skink	【動】	F=1	【動】スナトカゲ（属）（砂漠に住むトカゲ）	skink/o
skolopendr	【動】	F=1	【動】オオムカデ（属）;《般》ムカデ（百足）	skolopendr/o
spavin	【動】	F=1	【動】（馬の）飛節内腫（ひせつないしゅ）	spavin/o
tapir	【動】	F=1	{Ｏ}【動】バク（属）（獏）	tapir/o
tarantul	【動】	F=1	{Ｏ}【動】タランチュラコモリグモ（種）	tarantul/o
tegument	【動】	F=1	【動】外被,外皮;【植】種皮,珠皮	tegument/o
trikin	【動】	F=1	【動】センモウチュウ（旋毛虫）（属）	trikin/o
tripanosom	【動】	F=1	【動】トリパノソーマ（属）（寄生性原虫）	tripanosom/o
tritur	【動】	F=1	【動】クシイモリ（属）;《般》イモリ（井守）（科の総称）	tritur/o
vertag	【動】	F=1	【動】=melhundo（ダックスフント）	vertag/o
vombat	【動】	F=1	【動】ウォンバット	vombat/o
zebu	【動】	F=1	【動】コブウシ（瘤牛）,=g^ibobovo	zebu/o
zizel	【動】	F=1	{Ｏ}【動】ジリス（地栗鼠）（属）;ハタリス（畑栗鼠）（種）,>>marmoto,>>sciuro	zizel/o
kup	【医】	F=1	{Ｏ}【医】吸い玉;【動】吸盤	kup/o
spirant	【声】	F=1	【声】=frikativo;【植】ネジバナ	spirant/o
koka	【植】	F=5	【植】コカ（コカインを含有する常緑小低木）	koka/in/ism/o | koka/in/o | koka/o | koka/in/iz/o | koka/in/o/mani/o
sepal	【植】	F=5	【植】がく片,>>kaliko	sepal/o | sepal/ar/o | sepal/ec/a | kun/ig^/sepal/a | liber/sepal/a
kalikl	【植】	F=2	【植】副萼を持った	kalikl/a | kalikl/o
abrotan	【植】	F=1	【植】キダチヨモギ,サザンウッド	abrotan/o
adonid	【植】	F=1	【植】フクジュソウ（福寿草）（属）	adonid/o
agapant	【植】	F=1	【植】アガパンサス（属）,ムラサキクンシラン（紫君子蘭）	agapant/o
agrimoni	【植】	F=1	【植】キンミズヒキ（金水引）（属）	agrimoni/o
agropir	【植】	F=1	【植】カモジグサ（属）	agropir/o
agrostem	【植】	F=1	【植】ムギセンノウ（麦仙翁）（属）,ムギナデシコ（麦撫子）	agrostem/o
agrostid	【植】	F=1	【植】ヌカボ（糠穂）（属）	agrostid/o
ailant	【植】	F=1	【植】ニワウルシ（庭漆）	ailant/o
akile	【植】	F=1	【植】ノコギリソウ（鋸草）（属）,>>milfolio	akile/o
akirant	【植】	F=1	《Ｎ》【植】イノコズチ（牛膝）（属，_Achyranthes_）	akirant/o
akvilegi	【植】	F=1	{Ｏ}【植】オダマキ（苧環）,=aglofloro	akvilegi/o
albumen	【植】	F=1	【植】胚乳（はいにゅう）	albumen/o
alc^emil	【植】	F=1	【植】=alkemilo	alc^emil/o
alf	【植】	F=1	【植】アフリカハネガヤ（イネ科）	alf/o
alkemil	【植】	F=1	【植】ハゴロモグサ（羽衣草）（バラ科）	alkemil/o
aln	【植】	F=1	{Ｏ}【植】ハンノキ（榛の木）	aln/o
amianti	【植】	F=1	【植】アミアンチウム（北米原産のユリ科草本）	amianti/o
ampelops	【植】	F=1	【植】ノブドウ（野葡萄）（ブドウ科の多年生つる草）	ampelops/o
ankuz	【植】	F=1	【植】ウシノシタクサ（属）,アンチューサ,=bovlango	ankuz/o
antemid	【植】	F=1	【植】カミツレモドキ（属）;ローマカミツレ	antemid/o
anter	【植】	F=1	【植】葯（やく）,>>polensako	anter/o
antirin	【植】	F=1	【植】キンギョソウ（金魚草）（属）	antirin/o
arau^kari	【植】	F=1	【植】ナンヨウスギ（南洋杉）（属）	arau^kari/o
arbed	【植】	F=1	低木;【植】低木	arbed/o
ardizi	【植】	F=1	《Ｎ》【植】マンリョウ（万両）（c^iamverda arbusto，_Ardisia crenata_）	ardizi/o
arist	【植】	F=1	【植】（稲・麦などの実の先端にある）のぎ（芒）;【虫】触鬚（しょくしゅ）	arist/o
aristoloki	【植】	F=1	【植】ウマノスズクサ（馬の鈴草）（属）	aristoloki/o
artemizi	【植】	F=1	【植】ヨモギ（蓬）	artemizi/o
asfodel	【植】	F=1	【植】ツルボラン	asfodel/o
askalon	【植】	F=1	【植】=>s^aloto（シャロット）	askalon/o
asperul	【植】	F=1	【植】クルマバソウ（属）	asperul/o
astragal	【植】	F=1	【植】ゲンゲ（紫雲英）（属）,レンゲソウ（蓮華草）;【建】玉縁（たまぶち）;【解】距骨	astragal/o
atripl	【植】	F=1	{Ｏ}【植】ハマアカザ（属、若葉を食用とする）	atripl/o
au^rikul	【植】	F=1	【植】アツバサクラソウ	au^rikul/o
azar	【植】	F=1	【植】フタバアオイ（双葉葵）（属）	azar/o
basi	【植】	F=1	【植】ホウキギ,ホウキグサ	basi/o
bast	【植】	F=1	{Ｏ}【植】靭皮（じんぴ）	bast/o
begoni	【植】	F=1	【植】ベゴニア,シュウカイドウ（秋海棠）	begoni/o
beladon	【植】	F=1	{Ｏ}【植】ベラドンナ	beladon/o
betonik	【植】	F=1	【植】カッコウチョロギ	betonik/o
