char	root1	band1	gloss1	root2	band2	gloss2
刮	rugin	piv	【医】【PIV】Kirurgia skrapilo, uzata precipe por disigi la perioston disde la osto.	skrap	basic	{Ｂ}［他］削り取る,かき落とす,こそげる;きいきい鳴らす
辨	disting	basic	他との区別を示す,特有の;示差的な	diskrimin	piv	【PIV】(ntr (netransitiva)) 1 Distingi inter pluraj kazoj. 2 Distingi inter pluraj frekvenco
听	au^skult		{Ｂ}［他］聴く,耳を傾ける,傾聴する	au^d		聴覚の
咏	c^ant	pejvo	【楽】【PIV】Formo de kantado uzata por psalmoj k kantikoj: gregoria, anglikana c^anto. Vd neu^	psalm	pejvo	［他］【カ】（詩篇を）詠唱する;単調に歌う
咒	anatem	pejvo	［他］【宗】（教会が公式に）のろう,破門する	envult	pejvo	［他］（相手をかたどった人形で）呪いをかける
啼	grak	pejvo	［自］（カラスなどが）カアカア鳴く,>>bleki;（痰を出そうとして）のどを鳴らす	kokerik	pejvo	［自］（雄鶏が）コケコッコと鳴く
嗅	flar	basic	{Ｂ}［他］（においを）感じる;嗅ぐ;嗅ぎ分ける	olfakt	piv	【生】【PIV】Flarsenso.
噪	kakofoni	piv	【PIV】1 Kunmeto de sonoj, silaboj au^ vortoj, kies senharmonio vundas la orelon (ekz. (ekze	bru	basic	騒がしい
圈	boben	pejvo	［他］（巻枠に）巻取る	cirk	pejvo	{Ｏ}サーカス小屋;【史】（古代ローマの）円形競技場;【地理】圏谷（けんこく）,カール
堡	fuort	pejvo	【軍】砦（とりで）,堡塁（ほうるい）,=fortikaj^eto	burg	piv	【史】【PIV】Mezepoka fortikigita kastelo.
夸	bombast	pejvo	誇張した,大げさな	fanfaron	basic	{Ｂ}［自］空威張りする,大言壮語する,ほらを吹く,>>bombasti
孕	koncip	pejvo	［他］（子を）はらむ,妊娠する,>>gravedig^i	graved	basic	{Ｂ}妊娠した;《転》はらんだ
屎	merd	piv	【PIV】(fm (familiara, familiare)) 1 Fekaj^o. 2 (f (figurasence)) Malbonegaj^o.	kak	pejvo	《Ｎ》［自］うんちをする（幼児語）,>>feki
巫	s^aman	pejvo	【宗】シャーマン	mag	pejvo	【史】マギ（古代ペルシャの祭司）;（古代の）占星術師
并	paralel	basic	【数】平行の;並列の,平行する;【電】並列の;【情】パラレルの,>>seria	aneks	pejvo	{Ｏ}［他］【政】併合する;添付する
揉	tau^z	pejvo	［他］（髪など）かき乱す,かきむしる,かき回す,もみくしゃにする;《転》小突き回す,痛めつける	kned	basic	{Ｂ}［他］（穀粉・粘土を）こねる,練る;もむ;《転》（性格などを）鍛える
框	fram	pejvo	{Ｏ}【機】フレーム,枠;【建】骨組,>>c^asio,>>kadro	kadr	basic	【情】けい（罫）線
棕	palm	basic	{Ｂ}【植】ヤシ（椰子）,シュロ（棕櫚）（ヤシ科の植物の総称）	arek	piv	【植】【PIV】G. (Genro) (Areca el arekacoj) de dau^ra-au^ duondau^ra-foliaj, monoikaj arboj (pa
椒	pipr	basic	［他］こしょうをきかせる	piper	piv	【植】【PIV】G. (Genro) (Piper el piperacoj) de plantoj - arbetoj, arbustoj, lianoj k herboj - 
榴	punik	piv	【植】【PIV】G. (Genro) (Punica el punikacoj) de 2 sp-oj (specioj) de trunkarbustoj el SE Eu^ro	granat	pejvo	{Ｏ}【果】ザクロ
檐	vizier	pejvo	{Ｏ}（帽子の）ひさし;（かぶとの）まびさし（眉庇）;（洋式かぶとの）面ぼお	kornic	pejvo	カーテンレール
淤	kongest	pejvo	鬱血した	aluvi	pejvo	【地理】沖積平野
炮	kanon	sci	［他］砲撃する	petard	pejvo	［自］爆竹を鳴らす
瓣	klap	pejvo	【機】蝶形弁	petal	pejvo	{Ｏ}【植】花弁,花びら,=korolfolio
碎	frakas	basic	{Ｂ}［他］音をたてて打ち砕く,ガラガラと壊す;《転》撃破する,打ちのめす	fragment	pejvo	断片的な;ばらばらの
窗	fenestr	basic	窓台,窓敷居	gic^et		{Ｏ}（受付などの）窓口;切符売り場
罐	amfor	pejvo	{Ｏ}アンフォラ（つぼ）	bokal	pejvo	（首の短い）広口びん,ジャー
翅	pter	sci	(語釈なし)	pterig	pejvo	【動】【PIV】Permuskole movata flugilo de animalo.
耙	rast	pejvo	{Ｏ}［他］（熊手などで）かく,かき集める;かきならす;【軍】徹底的に捜索する,掃討する	erp	pejvo	{Ｏ}［他］【農】まぐわでならす
胚	embri	pejvo	胎児の;【生】胚の;《転》萌芽的な	blast	piv	【生】【PIV】Fundamenta embria c^eltavolo.
胖	korpulent	pejvo	太った,肥満体の	obez	pejvo	【魚】メバチ（マグロ）（種）
臀	grop	piv	【動】【PIV】1 La posta parto de c^evalo, bovo, birdo ks (kaj simile, kaj similaj), etendig^ant	pug	pejvo	=postaj^o（尻）
荐	rekomend	basic	推薦の	sakr	pejvo	［自］ののしる,悪態をつく,>>blasfemi
蚌	mitul	pejvo	{Ｏ}【貝】イガイ（貽貝）（属）,ムール貝	ostr	pejvo	{Ｏ}《般》カキ（牡蠣）;【貝】イタボガキ（板甫牡蠣）（属）
蝠	filostom	piv	【動】【PIV】G. (Genro) (Phyllostomus) de mamuloj el la ordo de vespertuloj, vivantaj en tropik	vespertilion	piv	【動】【PIV】G. (Genro) (Vespertilio) de mamuloj el la ordo de kiropteroj kun relative mallonga
蝗	lokust	pejvo	【虫】トノサマバッタ（属）,>>akrido;飛蝗（ひこう）	akrid	basic	{Ｂ}（一般に）バッタ（蝗虫）;【虫】ショウリョウバッタ（属）,>>lokusto,>>saltulo,>>rizakrido
蠕	peristalt	piv	【生】【PIV】Nevola muskola kontrahig^o, okazanta en tuboformaj organoj, movig^anta de supre ma	helmint	piv	【動】【PIV】Kn (Kolektiva nomo) de vermoj, kies plimulto parazitas en vertebruloj (inkl. (inkl
衫	c^emiz		{Ｂ}【服】シャツ,ワイシャツ;シュミーズ,>>tolaj^o	bluz	basic	{Ｂ}【服】ブラウス;上っ張り,仕事着;ジャンパー,ブルゾン
辣	kapsik	pejvo	【料】チリソース	kajen	pejvo	【料】（粉末状の）唐辛子（とうがらし）,>>kapsiko
醋	vinagr	pejvo	酢の,すっぱい;《転》気むずかしい,不機嫌な	acet	pejvo	【化】=acetilo（アセチル基）
雹	hajl	basic	［自］（無主語）あられが降る,ひょうが降る	grajl	pejvo	［自］（無主語）あられが降る
勒	brid	basic	［他］（馬に）馬勒（ばろく）をつける;《転》手綱を締める,抑制する	string	pejvo	［他］締めつける,握りしめる,抱きしめる,=c^irkau^premi,=c^irkau^strec^i
韵	rim	basic	［他］押韻する	asonanc	pejvo	［他］【文】母音で押韻する
髓	medol	pejvo	髄の,骨髄の,髄質の	mjel	pejvo	【解】脊髄（せきずい）,=spina medolo
炫	parad	pejvo	閲兵式の;パレードの;誇示の,見せびらかしの	bravur	piv	【楽】【PIV】Tre brila stilo au^ ludmaniero: bravura peco; ludi la adag^on kun bravuro.
产	produkt	basic	生産工程	akus^		出産の
仓	magazen	basic	{Ｂ}（商品などの）倉庫;大商店,百貨店;（銃の）弾倉,（カメラの）マガジン	sil	pejvo	【農】サイロ,貯蔵庫
份	da	prep	(語釈なし)	porci	basic	{Ｂ}分け前,割当て,配給量;（料理の）一人前
伤	lez	pejvo	損傷の	vund	basic	傷の,けがの
偷	marod	pejvo	［他］（作物を）畑から盗む,（家禽を）農家から盗む	s^tel		盗んで;こっそりと,ひそかに
兰	orkid	pejvo	【植】ハクサンチドリ（属）,オルキス;【解】精巣,睾丸（こうがん）,=testiko	orkide	pejvo	{Ｏ}《般》【植】ラン（蘭）（科の総称）
农	agr	pejvo	農地,=kultivata kampo	agrikultur	pejvo	農業経済,=terkultiva ekonomio
剑	spad	pejvo	{Ｏ}（細身の長くとがった）剣	glav	basic	{Ｂ}刀,剣;《転》剣（武力・暴力・権威の象徴）
协	kooperativ	basic	協同組合の	kooper	pejvo	協同の,=kunlabora;協同組合の,=kooperativa
发	emisi	pejvo	【経】発行の,振出の;【理】放出の,放射の	lanc^		{Ｏ}［他］放つ,発射する;世に送り出す;【海】進水させる;【情】（プログラムを）起動する,立ち上げる
吞	fag^	piv	【生】【PIV】Mll de bakteriofag^o.	glut	basic	{Ｂ}［他］飲み込む,飲み下す;《転》飲み込む,むさぼる
吨	tonel	pejvo	{Ｏ}【海】（船の）容積トン（2.83ｍ3）	tun	basic	{Ｂ}【単】トン（1t=1000kg）
启	inspir	basic	{Ｂ}［他］（思想・感情を）吹き込む,鼓吹する,抱かせる;霊感を与える	revelaci	pejvo	天啓宗教
员	komiz	pejvo	{Ｏ}店員,社員,銀行員	membr	basic	{Ｂ}会員,一員,構成員,メンバー;（構成）要素,部分;【解】肢（手または足）;（人・動植物の）体の一部器官（肢，手，足，脚，舌，翼，羽，枝，葉，茎，根など）
