char	root1	gloss1	root2	gloss2
迷	zelot	《転》熱心なファン,（サッカーの）サポーター【私家版】	superstic^	迷信的な,迷信深い
模	model	模範的な	s^ablon	ひな型の,型から作った;紋切型の,月並みの
盲	anopsi	【医】【PIV】Perdo de la vido.	blind	{Ｂ}盲目の;《転》盲目的な（差別的表現なので避けるべき）,=>senkriti
目	okul	目の	oftalm	【解】【PIV】Okulo 1.
役	kampanj	［自］キャンペーンを張る	servut	賦役の,農奴労働の
柳	vimen	【植】タイリクキヌヤナギ（大陸絹柳）（種）;《般》（柔らかい）柳の枝	salik	{Ｂ}【植】ヤナギ（柳）（属）
愈	des	(語釈なし)	konvalesk	【医】【PIV】Transiro de la malsana al la san
勇	kurag^	{Ｂ}勇気ある,勇敢な,度胸のある,元気な	brav	{Ｂ}勇敢な,勇ましい,りりしい;実直な,律義な;りっぱな
幼	neoten	【生】【PIV】Konservanta larvajn au^ junecajn	jun	{Ｂ}若い,年の若い,年少の,幼い
容	kapacit	【理】容量,容積;【電】電気容量	mien	［自］顔つきをしている;（〜のように）見える,>>aspekti
翼	plane	【空】翼板,翼（よく）	al	（飛行機の）翼（つばさ）,（プロペラ・風車の）羽根,（建物・陣形の）翼（よく）;
落	decidu	【植】【動】【PIV】Defalema.	fal	{Ｂ}［自］落ちる,落下する;倒れる,転ぶ;降る;《転》滅びる
酪	krem	クリーム入りの;クリーム状の	fromag^	{Ｂ}【料】チーズ
李	prunus	【植】【PIV】G. (Genro) (Prunus el rozacoj) d	prun	{Ｂ}【果】西洋すもも,すもも（李）,プラム
率	procent	{Ｂ}パーセント,=elcento;利率,利回り;利息,利子,=interezo	susceptibl	【理】磁化されうる
力	potenc	強力な,威力のある;有力な,権力のある,強大な	dinamik	力学の,動的な
露	ros	［自］（無主語）露がおりる	ekshibici	【PIV】Emo sin montri, aparte en erotika s
老	senil	【病】老人性認知症	veteran	老練な,長く経験を積んだ,ベテランの
湾	sinu	【PIV】C^iu el la kurbaj^oj, fleksoj de vo	golf	ゴルフクラブ
舒	komfort	{Ｂ}快適な,心地よい,安楽な	diastol	【医】拡張期血圧,=malsupra premo
佛	buda	【仏】=Budho（仏陀）	budh	仏像
假	fint	［自］牽制する,フェイントをかける,>>s^ajnigi	feri	休日の
刮	rugin	【医】【PIV】Kirurgia skrapilo, uzata precipe	skrap	{Ｂ}［他］削り取る,かき落とす,こそげる;きいきい鳴らす
辨	disting	他との区別を示す,特有の;示差的な	diskrimin	【PIV】(ntr (netransitiva)) 1 Distingi int
听	au^skult	{Ｂ}［他］聴く,耳を傾ける,傾聴する	au^d	聴覚の
咏	c^ant	【楽】【PIV】Formo de kantado uzata por psalm	psalm	［他］【カ】（詩篇を）詠唱する;単調に歌う
咒	anatem	［他］【宗】（教会が公式に）のろう,破門する	envult	［他］（相手をかたどった人形で）呪いをかける
啼	grak	［自］（カラスなどが）カアカア鳴く,>>bleki;（痰を出そうとして）のどを鳴	kokerik	［自］（雄鶏が）コケコッコと鳴く
嗅	flar	{Ｂ}［他］（においを）感じる;嗅ぐ;嗅ぎ分ける	olfakt	【生】【PIV】Flarsenso.
噪	kakofoni	【PIV】1 Kunmeto de sonoj, silaboj au^ vor	bru	騒がしい
圈	boben	［他］（巻枠に）巻取る	cirk	{Ｏ}サーカス小屋;【史】（古代ローマの）円形競技場;【地理】圏谷（けんこく）,
堡	burg	【史】【PIV】Mezepoka fortikigita kastelo.	fuort	【軍】砦（とりで）,堡塁（ほうるい）,=fortikaj^eto
夸	bombast	誇張した,大げさな	fanfaron	{Ｂ}［自］空威張りする,大言壮語する,ほらを吹く,>>bombasti
孕	koncip	［他］（子を）はらむ,妊娠する,>>gravedig^i	graved	{Ｂ}妊娠した;《転》はらんだ
屎	merd	【PIV】(fm (familiara, familiare)) 1 Fekaj	kak	《Ｎ》［自］うんちをする（幼児語）,>>feki
巫	s^aman	【宗】シャーマン	mag	【史】マギ（古代ペルシャの祭司）;（古代の）占星術師
并	paralel	【数】平行の;並列の,平行する;【電】並列の;【情】パラレルの,>>seria	aneks	{Ｏ}［他］【政】併合する;添付する
揉	tau^z	［他］（髪など）かき乱す,かきむしる,かき回す,もみくしゃにする;《転》小突き回	kned	{Ｂ}［他］（穀粉・粘土を）こねる,練る;もむ;《転》（性格などを）鍛える
框	fram	{Ｏ}【機】フレーム,枠;【建】骨組,>>c^asio,>>kadro	kadr	【情】けい（罫）線
棕	palm	{Ｂ}【植】ヤシ（椰子）,シュロ（棕櫚）（ヤシ科の植物の総称）	arek	【植】【PIV】G. (Genro) (Areca el arekacoj) d
椒	pipr	［他］こしょうをきかせる	piper	【植】【PIV】G. (Genro) (Piper el piperacoj) 
榴	punik	【植】【PIV】G. (Genro) (Punica el punikacoj)	granat	{Ｏ}【果】ザクロ
檐	vizier	{Ｏ}（帽子の）ひさし;（かぶとの）まびさし（眉庇）;（洋式かぶとの）面ぼお	kornic	カーテンレール
淤	kongest	鬱血した	aluvi	【地理】沖積平野
炮	kanon	［他］砲撃する	petard	［自］爆竹を鳴らす
瓣	klap	【機】蝶形弁	petal	{Ｏ}【植】花弁,花びら,=korolfolio
碎	frakas	{Ｂ}［他］音をたてて打ち砕く,ガラガラと壊す;《転》撃破する,打ちのめす	fragment	断片的な;ばらばらの
窗	fenestr	窓台,窓敷居	gic^et	{Ｏ}（受付などの）窓口;切符売り場
罐	amfor	{Ｏ}アンフォラ（つぼ）	bokal	（首の短い）広口びん,ジャー
翅	pter	(語釈なし)	pterig	【動】【PIV】Permuskole movata flugilo de ani
耙	rast	{Ｏ}［他］（熊手などで）かく,かき集める;かきならす;【軍】徹底的に捜索する,	erp	{Ｏ}［他］【農】まぐわでならす
胚	embri	胎児の;【生】胚の;《転》萌芽的な	blast	【生】【PIV】Fundamenta embria c^eltavolo.
胖	korpulent	太った,肥満体の	obez	【魚】メバチ（マグロ）（種）
臀	grop	【動】【PIV】1 La posta parto de c^evalo, bov	pug	=postaj^o（尻）
荐	rekomend	推薦の	sakr	［自］ののしる,悪態をつく,>>blasfemi
