type	char	root	band	fullKanji	gloss
2根	咏	c^ant	pejvo	咏	【楽】【PIV】Formo de kantado uzata por psalmoj k k
2根	咏	psalm	pejvo	咏	［他］【カ】（詩篇を）詠唱する;単調に歌う
2根	咒	anatem	pejvo	咒	［他］【宗】（教会が公式に）のろう,破門する
2根	咒	envult	pejvo	咒	［他］（相手をかたどった人形で）呪いをかける
2根	啼	grak	pejvo	啼	［自］（カラスなどが）カアカア鳴く,>>bleki;（痰を出そうとして）のどを鳴らす
2根	啼	kokerik	pejvo	啼	［自］（雄鶏が）コケコッコと鳴く
2根	嗅	flar	basic	嗅	{Ｂ}［他］（においを）感じる;嗅ぐ;嗅ぎ分ける
2根	嗅	olfakt	piv	嗅	【生】【PIV】Flarsenso.
2根	噪	bru	basic	噪	騒がしい
2根	噪	kakofoni	piv	噪	【PIV】1 Kunmeto de sonoj, silaboj au^ vortoj, k
2根	夸	fanfaron	basic	夸	{Ｂ}［自］空威張りする,大言壮語する,ほらを吹く,>>bombasti
2根	夸	bombast	pejvo	夸	誇張した,大げさな
2根	孕	graved	basic	孕	{Ｂ}妊娠した;《転》はらんだ
2根	孕	koncip	pejvo	孕	［他］（子を）はらむ,妊娠する,>>gravedig^i
2根	屎	kak	pejvo	屎	《Ｎ》［自］うんちをする（幼児語）,>>feki
2根	屎	merd	piv	屎	【PIV】(fm (familiara, familiare)) 1 Fekaj^o. 2 
2根	巫	mag	pejvo	巫	【史】マギ（古代ペルシャの祭司）;（古代の）占星術師
2根	巫	s^aman	pejvo	巫	【宗】シャーマン
2根	并	paralel	basic	并	【数】平行の;並列の,平行する;【電】並列の;【情】パラレルの,>>seria
2根	并	aneks	pejvo	并	{Ｏ}［他］【政】併合する;添付する
2根	广	vast	basic	广	{Ｂ}広い,広々とした;（衣服が）ゆったりした;《転》広範な;【声】（母音が）開いた
2根	广	ampleks	basic	广	広大な,広範囲の,包括的な
2根	怕	tim	basic	怕	恐怖の;不安の
2根	怕	fob	piv	怕	(無)
2根	拉	tir	basic	拉	{Ｂ}［他］引く,引っ張る,引き寄せる;引き出す,取り出す;引き伸ばす;引いて行く,引きずる
2根	揉	kned	basic	揉	{Ｂ}［他］（穀粉・粘土を）こねる,練る;もむ;《転》（性格などを）鍛える
2根	揉	tau^z	pejvo	揉	［他］（髪など）かき乱す,かきむしる,かき回す,もみくしゃにする;《転》小突き回す,痛めつけ
2根	杠	vekt	pejvo	杠	{Ｏ}天秤棒,（はかりの）さお
2根	框	kadr	basic	框	［他］縁取る,（額縁のように）囲む;枠にはめる,>>enkadrigi
2根	框	fram	pejvo	框	{Ｏ}【機】フレーム,枠;【建】骨組,>>c^asio,>>kadro
2根	棕	palm	basic	棕	{Ｂ}【植】ヤシ（椰子）,シュロ（棕櫚）（ヤシ科の植物の総称）
2根	棕	arek	piv	棕	【植】【PIV】G. (Genro) (Areca el arekacoj) de dau^
2根	椰	kokos	basic	椰	{Ｂ}【果】ヤシの実,ココナッツ;【植】=kokosarbo
piv単独	榕	fikus	piv	榕	【植】【PIV】G. (Genro) (Ficus el morusacoj) de lak
2根	橙	oranĝ	basic	橙	(無)
2根	檐	kornic	pejvo	檐	{Ｏ}【建】コーニス,軒蛇腹（のきじゃばら）;【地理】岩棚,雪庇（せっぴ）
2根	檐	vizier	pejvo	檐	{Ｏ}（帽子の）ひさし;（かぶとの）まびさし（眉庇）;（洋式かぶとの）面ぼお
2根	汞	hidrarg	pejvo	汞	{Ｏ}【化】水銀
2根	泪	larm	basic	泪	涙の,涙にぬれた
2根	淤	aluvi	pejvo	淤	【地理】沖積土（ちゅうせきど）
2根	淤	kongest	pejvo	淤	鬱血した
piv単独	溪	roj	piv	溪	【地理】【PIV】Mallarg^a k malprofunda rivereto. Vd 
2根	灌	klister	pejvo	灌	［他］【医】浣腸する
piv単独	熏	bukan	piv	熏	【PIV】Viando au^ fis^o fumsekigita.
2根	猩	goril	pejvo	猩	{Ｏ}【動】ゴリラ
2根	瓣	klap	pejvo	瓣	{Ｏ}片開きの弁状のもの;【機】弁;（片側を蝶番で固定した）はね板;（ポケットの）たれぶた;
2根	瓣	petal	pejvo	瓣	{Ｏ}【植】花弁,花びら,=korolfolio
piv単独	疆	marki	piv	疆	【史】【PIV】Regiono au^ provinco, kiu konsistigis 
2根	矮	nan	pejvo	矮	小人（こびと）の;【生】矮性の
2根	簧	anc^	pejvo	簧	{Ｏ}【楽】（管楽器の）リード,簧（した）
2根	缺	mank	basic	缺	欠けている,足りない,不備の
2根	罐	amfor	pejvo	罐	{Ｏ}アンフォラ（つぼ）
2根	罐	bokal	pejvo	罐	（首の短い）広口びん,ジャー
2根	羞	pudor	pejvo	羞	恥じらいのある,慎み深い
2根	翔	ŝveb	basic	翔	(無)
2根	耙	erp	pejvo	耙	{Ｏ}［他］【農】まぐわでならす
2根	耙	rast	pejvo	耙	{Ｏ}［他］（熊手などで）かく,かき集める;かきならす;【軍】徹底的に捜索する,掃討する
2根	肚	trip	pejvo	肚	{Ｏ}（動物の）はらわた,臓物;（反芻動物の）胃;【料】トライプ（牛の胃を刻んで煮込んだもの
2根	胖	obez	pejvo	胖	【医】【PIV】Dikventra, trafita de obezeco.
2根	胖	korpulent	pejvo	胖	太った,肥満体の
2根	腮	mumps	pejvo	腮	【病】流行性耳下腺炎,おたふく風邪
2根	臀	pug	pejvo	臀	=postaj^o（尻）
2根	臀	grop	piv	臀	【動】【PIV】1 La posta parto de c^evalo, bovo, bir
2根	艾	moks	pejvo	艾	【医】灸（きゅう）;もぐさ（sekigita artemizio）
2根	苹	pom	basic	苹	リンゴの
2根	苞	brakte	piv	苞	【植】【PIV】Folio, aksele de kiu formig^as floro, 
2根	蚌	ostr	pejvo	蚌	{Ｏ}《般》カキ（牡蠣）;【貝】イタボガキ（板甫牡蠣）（属）
2根	蚌	mitul	pejvo	蚌	{Ｏ}【貝】イガイ（貽貝）（属）,ムール貝
2根	蝠	filostom	piv	蝠	【動】【PIV】G. (Genro) (Phyllostomus) de mamuloj e
2根	蝠	vespertilion	piv	蝠	【動】【PIV】G. (Genro) (Vespertilio) de mamuloj el
2根	蝎	skorpi	basic	蝎	{Ｂ}【動】サソリ（蠍）（目の総称）;【聖】さそり鞭（むち）
2根	蝗	akrid	basic	蝗	{Ｂ}（一般に）バッタ（蝗虫）;【虫】ショウリョウバッタ（属）,>>lokusto,>>sa
2根	蝗	lokust	pejvo	蝗	【虫】トノサマバッタ（属）,>>akrido;飛蝗（ひこう）
2根	蠕	helmint	piv	蠕	【動】【PIV】Kn (Kolektiva nomo) de vermoj, kies pl
2根	蠕	peristalt	piv	蠕	【生】【PIV】Nevola muskola kontrahig^o, okazanta e
2根	衫	ĉemiz	basic	衫	(無)
2根	衫	bluz	basic	衫	{Ｂ}【服】ブラウス;上っ張り,仕事着;ジャンパー,ブルゾン
2根	躁	nervoz	basic	躁	{Ｂ}神経質な,神経の細い,いらだった
2根	辣	kapsik	pejvo	辣	{Ｏ}【植】トウガラシ（唐辛子）（属）,>>papriko;=kapsikofrukto
2根	辣	kajen	pejvo	辣	(無)
2根	雹	hajl	basic	雹	［自］（無主語）あられが降る,ひょうが降る
2根	雹	grajl	pejvo	雹	［自］（無主語）あられが降る
2根	勒	brid	basic	勒	［他］（馬に）馬勒（ばろく）をつける;《転》手綱を締める,抑制する
2根	勒	string	pejvo	勒	［他］締めつける,握りしめる,抱きしめる,=c^irkau^premi,=c^irkau^s
2根	德	virt	basic	德	徳の高い,有徳の
2根	德	moral	basic	德	道徳の,道義上の;道徳的な,道義にかなった;心の,精神的な
2根	炫	parad	pejvo	炫	閲兵式の;パレードの;誇示の,見せびらかしの
