-ant-	在
palto	大衣/o
paneo	瘫/o
pano	面包/o
pantalono	裤/o
pantoflo	拖鞋/o
papago	鹦/o
papero	纸/o
papilio	蝶/o
papo	教皇/o
paradizo	天/o
pardoni	恕/i
parenco	亲ᴾ/o
parfumo	香ᴾ/o
parko	园ᴾ/o
parlamento	议ᴾᴸ/o
paro	偶/o
paroli	话/i
partio	党/o
parto	部/o
pasag^ero	客ᴾ/o
pasero	雀ᴾ/o
pasi	过ᴾ/i
pasio	情ᴾˢ/o
pasporto	护照/o
pasto	糊/o
pastro	牧ᴾˢ/o
pato	锅/o
patro	父/o
patrono	保ᴾ/o
pag^o	页/o
pas^i	步/i
pas^ti	牧/i
peco	片/o
pejzag^o	景/o
peki	罪ᴾ/i
peli	驱/i
pelto	皮ᴾ/o
pendi	挂/i
penetri	穿ᴾ/i
peni	努/i
peniko	笔/o
pensi	思/i
pensio	养老/o
penti	悔/i
pentri	描/i
per	以
perdi	失/i
perei	亡/i
perfekta	完/a
perfidi	叛ᴾ/i
periodo	期ᴾ/o
perlo	珠/o
permesi	许/i
persekuti	迫/i
persiko	桃/o
persisti	坚ᴾ/i
persono	人ᴾ/o
pesi	衡ᴾ/i
peti	求/i
petoli	玩ᴾ/i
petrolo	油ᴾ/o
peza	重/a
pia	敬ᴾ/a
piano	琴/o
piedo	足/o
piki	刺/i
pilko	球ᴾ/o
pilo	电ᴾ/o
pinglo	针ᴾ/o
pino	松/o
pinto	尖/o
pinc^i	掐/i
pioniro	拓/o
pipro	椒/o
piro	梨/o
pizo	豌/o
placo	场ᴾ/o
plado	皿/o
plafono	顶ᴾ/o
planedo	星ᴾ/o
planko	板/o
plano	划/o
planti	植/i
plasto	塑/o
plata	扁/a
plac^i	悦/i
plej	最
plekti	编/i
plena	满/a
plendi	诉/i
plezuro	乐ᴾ/o
pli	更
plori	哭/i
plu	还
plugi	耕ᴾ/i
plumbo	铅/o
plumo	羽/o
pluraj	多ᴾᴿ/aj
plus	加
pluvo	雨/o
po	每
poemo	诗/o
poeto	诗ᴾᵀ/o
poezio	诗ᴾᶻ/o
polico	警/o
politiko	政/o
polvo	尘/o
pomo	苹/o
ponto	桥/o
popolo	民/o
populara	众/a
por	为
porcio	份ᴾ/o
pordo	门/o
porko	猪/o
porti	运/i
portreto	肖/o
posedi	有ᴾ/i
post	后
posteno	岗/o
postuli	求ᴾˢ/i
potenco	力/o
poto	壶/o
povi	能/i
pozicio	位ᴾ/o
pos^o	袋ᴾ/o
pos^to	邮/o
pra-	原
praktiko	践/o
prava	理/a
preciza	准/a
preferi	宁ᴾ/i
prelegi	讲/i
premi	压/i
premio	奖/o
preni	拿/i
