層	分節	単独語数	単独接地率	合成語数	合成接地率	文脈保持率
tier0_CSV2890	mani	5	0.600	10	0.200	0.33
tier0_CSV2890	projekt	3	1.000	6	0.333	0.33
tier0_CSV2890	ripoz	4	1.000	6	0.333	0.33
tier0_CSV2890	hazard	4	0.750	4	0.250	0.33
tier0_CSV2890	kastel	2	1.000	6	0.333	0.33
tier0_CSV2890	torent	4	1.000	3	0.333	0.33
tier0_CSV2890	mus	1	1.000	6	0.333	0.33
tier0_CSV2890	mor	2	1.000	3	0.333	0.33
tier0_CSV2890	motiv	6	1.000	3	0.333	0.33
tier0_CSV2890	paradiz	2	1.000	3	0.333	0.33
tier0_CSV2890	vesp	1	1.000	3	0.333	0.33
tier0_CSV2890	arm	7	0.857	17	0.294	0.34
tier0_CSV2890	graf	26	0.115	51	0.039	0.34
tier0_CSV2890	program	6	0.167	17	0.059	0.35
tier0_CSV2890	vic	15	0.600	37	0.216	0.36
tier0_CSV2890	indik	6	0.833	10	0.300	0.36
tier0_CSV2890	kviet	10	0.900	6	0.333	0.37
tier0_CSV2890	har	6	0.833	38	0.316	0.38
tier0_CSV2890	kuv	3	0.667	4	0.250	0.38
tier0_CSV2890	pastr	6	0.667	4	0.250	0.38
tier0_CSV2890	tig	1	1.000	8	0.375	0.38
tier0_CSV2890	karton	3	0.333	8	0.125	0.38
tier0_CSV2890	oficir	2	1.000	5	0.400	0.40
tier0_CSV2890	kas^tan	1	1.000	5	0.400	0.40
tier0_CSV2890	tali	2	1.000	5	0.400	0.40
tier0_CSV2890	fab	2	1.000	5	0.400	0.40
tier0_CSV2890	evolu	8	0.625	8	0.250	0.40
tier0_CSV2890	fask	2	1.000	5	0.400	0.40
tier0_CSV2890	gorg^	2	0.500	5	0.200	0.40
tier0_CSV2890	kruel	6	1.000	5	0.400	0.40
tier0_CSV2890	normal	4	1.000	5	0.400	0.40
tier0_CSV2890	dorm	20	0.200	12	0.083	0.42
tier0_CSV2890	balot	8	0.875	11	0.364	0.42
tier0_CSV2890	s^ak	5	0.600	8	0.250	0.42
tier0_CSV2890	sufok	5	0.800	3	0.333	0.42
tier0_CSV2890	vant	5	0.600	4	0.250	0.42
tier0_CSV2890	distribu	7	1.000	7	0.429	0.43
tier0_CSV2890	tur	3	1.000	21	0.429	0.43
tier0_CSV2890	gram	3	0.333	21	0.143	0.43
tier0_CSV2890	met	43	0.302	15	0.133	0.44
tier0_CSV2890	c^erk	4	0.750	3	0.333	0.44
tier0_CSV2890	teknik	5	1.000	9	0.444	0.44
tier0_CSV2890	solid	8	1.000	9	0.444	0.44
tier0_CSV2890	centr	13	0.231	29	0.103	0.45
