root	層	漢字	接地	生物名	F	接地した定義語根	定義文
pneu^monopati	PIV	肺病	Y		1	pulm=肺	Kn (Kolektiva nomo) de la pulmaj malsanoj.
pogostemon	PIV	草ᴾᴼᴳ	Y	Y	1	herb=草,pac^ul=香草	G. (Genro) (Pogostemon el lamiacoj) de c^. (c^irkau^) 95 sp-oj (specioj) de plurjaraj herb
polarograf	PIV	极记	Y		1	elektrod=极	Aparato, kiu au^tomate registras la kurenton dum elektrolizo c^e gutanta hidrarga elektrod
polarografi	PIV	极志	Y		1	polarograf=极记	Metodo de kvalita au^ kvanta analizo per polarografo, precipe uzata por analizi la metaloj
polemolog	PIV	战学家	Y		1	polemologi=战学	Specialisto pri polemologio.
polemologi	PIV	战学	Y		1	milit=战,sociologi=社学	Scienca studado de la milito rigardata kiel sociologia fenomeno.
polemoni	PIV	草ᴾᴹ	Y	Y	1	herb=草	G. (Genro) (Polemonium el polemoniacoj) de unu-, du-k plur-jaraj herboj kun plume kunmetaj
polenolog	PIV	粉学家	Y		1	polenologi=粉学	Specialisto pri polenologio.
polenologi	PIV	粉学	Y		1	polen=粉ᴾᴺ	Scienco pri la poleno k vastasence ankau^ pri la sporoj
poliant	PIV	草ᴾᴼ	Y	Y	1	herb=草	G. (Genro) (Polianthes el agavacoj) de du sp-oj (specioj) de Meksikaj plurjaraj herboj kun
poligal	PIV	草ᴾᴳ	Y	Y	1	herb=草	G. (Genro) (Polygala el poligalacoj) de plantoj -unu-k plur-jaraj herboj, arbustetoj, arbu
poligonat	PIV	草ᴾᴼᴸ	Y	Y	1	herb=草	G. (Genro) (Polygonatum el konvalacoj) de plurjaraj herboj kun rizomo, havanta okulfrapajn
polinukle	PIV	多核	Y		1	nukle=核,plur=多	(pp (se paroli pri) c^elo) S^ajne plurnuklea pro nukleo profunde divida en plurajn lobojn.
poliplektr	PIV	鸟ᴾᴼᴸ	Y	Y	1	bird=鸟	G. (Genro) (Polyplectron), tre parenca al fazano, de birdoj kun 2 au^ 3 ergotoj sur c^iu t
polipodi	PIV	多足	Y	Y	1	mult=多,mult=多	G. (Genro) (Polypodium el polipodiacoj) de filikoj kun rampa rizomo k kun folioj simplaj a
polipor	PIV	菌ᴾᴾ	Y	Y	1	fistulin=菌ᶠᵀ	1 (ss (striktasence)) G. (Genro) (Polyporus el poliporacoj) kosmopolita de c^. (c^irkau^) 
polipter	PIV	多翅	Y	Y	1	mult=多	G. (Genro) (Polypterus) de fis^oj el la superordo de kondrosteoj, kun multaj malgrandaj do
polistik	PIV	羊齿ᴾᴸ	Y	Y	1	filik=羊齿	G. (Genro) (Polystichum el driopteridacoj) de filikoj kun vertikala rizomo, kun rozeto el 
politikolog	PIV	政学家ᴾᴷ	Y		1	politikologi=政学ᴾᴷ	Specialisto pri politikologio.
