root	kanji	gloss
prezent	呈	{Ｂ}［他］差し出す,見せる,提示する,提出する;紹介する;思い描く;描き出す;上演する,上映する;（様相を）呈する,示す
prov	试	試みの,試験的な
punkt	点	［他］点を打つ
poent	点	［他］得点をつける
desert	点	{Ｂ}【料】デザート
pur	纯	{Ｂ}混じりけのない,純粋な,澄んだ;清らかな,清潔な,きれいな;純真な,純潔な;【宗】清められた,清浄な
rajt	权	権利の;権利のある,正当な
aŭtoritat	权	(基本形gloss無)
rakont	述	{Ｂ}［他］物語る,語る,話をする
dikt	述	{Ｂ}［他］口述筆記させる;指図する
reg	治	【機】制御の;【生】優性の
renkont	遇	{Ｂ}［他］出会う,行き会う,遭遇する;経験する;反応する,対応する
rigard	看	{Ｂ}［他］見る,眺める,注目する,目を向ける;確かめる,注意を向ける;考える,みなす;面している,向いている
konsci	觉	意識的な
rimark	觉	{Ｂ}［他］気づく,注目する;（気がついて）言う,指摘する
ŝanĝ	变	(基本形gloss無)
vari	变	変動する,変化に富んだ;多様な,種々の
semajn	周	一週間の;毎週の,週一回の
