"root"	"kanji"	"gloss"
"re"	"再"	"二度目の ／ 再び,また,>>denove ／ 元へ,元のほうへ,>>retro ／ 【神】ラー,レー（古代エジプトの太陽神）"
"bis"	"再"	"［間］アンコール！ ／ ［他］アンコールを求める ／ アンコール"
"mal"	"反"	"正反対の,逆の ／ 反対に,逆に ／ マリ人 ／ 【国名】マリ（アフリカ）"
"opon"	"反"	"［自］反対する,反駁する,逆らう,>>opozicii,>>kontrau^ ／ 反対,反駁（はんばく）,反論"
"ironi"	"反"	"皮肉な ／ 皮肉に ／ ［自］皮肉を言う ／ 皮肉,当てこすり;アイロニー,反語"
"ek"	"始"	"［間］さあ！ ／ =ekde（〜から） ／ ［自］=komencig^i（始まる）"
"komenc"	"始"	"はじめの,最初の,手始めの ／ 【理】初期条件 ／ 【理】初速度 ／ はじめに,最初に,手始めに"
"ge"	"双"	"男女両方の ／ 混浴風呂"
"dual"	"双"	"二重の;【哲】二元的な;【数】双対（そうつい）の;【Ｇ】双数の ／ 【Ｇ】双数,両数,>>singularo,>>pluralo"
"g^emin"	"双"	"【解】【医】【PIV】Duope okazanta au^ situanta"
"eks"	"旧"	"前任の,元の ／ ［間］退任せよ！,辞めろ！"
"april"	"四月"	"４月に ／ ４月"
"aŭgust"	"八月"	"８月 ／ （男子名）アウグスト,オーギュスト"
"oktobr"	"十月"	"１０月"
"or"	"金"	"金無垢（むく）,純金 ／ 金の,黄金の,金製の;金色の;《転》（金のように）貴重な,すばらしい ／ 【鳥】=reg^a aglo（イヌワシ） ／ 黄金時代"
"metal"	"金"	"【化】アルカリ金属 ／ 【化】軽金属 ／ 金属の,金属製の,金属質の,金属的な ／ 【化】金属化合物"
"blond"	"金"	"ブロンドの（毛髪が金色と栗色の中間）"
"januar"	"一月"	"１月"
"fajr"	"火"	"【料】とろ火 ／ 火の;火のような,燃えるような ／ 火のように,熱烈に ／ ［自］燃えている"
"mard"	"火"	"【キ】告解火曜日（謝肉祭の最終日） ／ 火曜日の ／ 火曜日に ／ 火曜日"
"tag"	"日"	"何日 ／ 【環】世界環境デー（６月５日） ／ （独立記念日などの）国家的記念日 ／ 丸一日,全日"
"diurn"	"日"	"【天】一日（２４時間）,一昼夜,=tagnokto ／ 【生】【PIV】Rilata al diurno: la diurna mo"
"dimanĉ"	"日"	"日曜日の ／ 日曜日に ／ 日曜日"
"lign"	"木"	"木製の ／ 木造家屋 ／ 木（もく）タール ／ 寄せ木細工,=marketraj^o"
"ksil"	"木"	"【化】【PIV】Radiko de: ksilozo = Pentozo, "
"ĵaŭd"	"木"	"木曜日の ／ 木曜日に ／ 木曜日"
"sorp"	"木"	"【植】ナナカマド（実）"
"tili"	"木"	"【植】ボダイジュ（菩提樹）,シナノキ（科木）（属）"
"muskat"	"木"	"【植】ナツメグ,ニクズク（の種子）"
"kornus"	"木"	"【植】ミズキ（属）;サンシュユ,ミズキ"
"koril"	"木"	"【植】【PIV】G. (Genro) (Corylus el betulac"
"mart"	"三月"	"３月の ／ ３月 ／ 【PIV】Virina nomo, i.a. de heroino de l"
"grund"	"土"	"【環】酸性土壌 ／ 【地質】永久凍土 ／ 堅固な地盤 ／ 【環】土壌汚染"
"sabat"	"土"	"土曜日の;安息の ／ 土曜日に ／ 土曜日;（ユダヤ教の）安息日"
"saturn"	"土"	"【神】サトゥルヌス,サターン（古代ローマの農耕神）;【天】土星 ／ 【PIV】1 Rilata al Saturno: la Saturnaj "
"akv"	"水"	"水の;【生】水生の ／ 【環】水循環 ／ 【病】尿崩症 ／ 【理】水当量"
"hidr"	"水"	"【化】無水の ／ 【化】無水アルコール ／ 【動】ヒドラ;【神】ヒドラ（九つの頭をもつ海蛇の怪物） ／ 【天】うみへび座"
"maj"	"五月"	"５月 ／ 【PIV】Rilata al Majo: la Maja stango (M"
"juli"	"七月"	"７月の ／ ７月 ／ （男子名）ユリウス,ジュリアス,フリオ;（女子名）ユリア,ジュリア"
"juni"	"六月"	"６月の ／ ６月に ／ ６月"
"lun"	"月"	"上弦の月 ／ 月の ／ 【天】月食 ／ 太陰暦"
"monat"	"月"	"妊娠３か月の ／ 一ヶ月の,毎月の ／ 月刊誌 ／ 月例会"
"lund"	"月"	"月曜日の ／ 月曜日に ／ 月曜日"
"la"	"该"	"インターネットにアクセスする ／ 【植】ミヤマキンポウゲ（種）,>>ranunkolo ／ 人権宣言 ／ 【天】宇宙の膨張"
"kapric"	"任"	"気まぐれな,移り気な;予測できない ／ 気まぐれに,不規則に ／ ［自］気まぐれである ／ 気まぐれ,移り気,むら気;（ものごとの）急変"
"ambaŭ"	"两"	"［形］両方の,双方の ／ ［代］両方,両者 ／ ［副］両方とも,どちらも"
"ankaŭ"	"也"	"［副］〜もまた"
"plu"	"还"	"［副］〜など,その他,=k.t.p. ／ ［副］もはや〜しない ／ ［副］さらに,もっと,引き続き ／ なおその上の,さらなる,その後の"
"geni"	"才"	"天才的な ／ 天才,天分;【神】守護神"
"talent"	"才"	"円熟した才能 ／ 才能のある,腕のある,有能な ／ 才能,天分,手腕,腕前;=talanto（タラント） ／ 特異な才能"
"apenaŭ"	"才"	"［接］〜するや否や ／ ［副］やっと,かろうじて;ほとんど〜ない,=preskau^ ne ／ ほんのわずかの,わからないほどの"
