char	root	gloss
读	leg	［他］読む,音読する;読み取る,解読する;読み取る
舔	lek	［他］なめる;《転》へつらう
狮	leon	ライオンの
巧	lert	器用な,巧みな,上手な;敏捷な,すばしこい
尉	leu^tenant	中尉
荔	lic^i	1 G. (Genro) (Litchi el sapindacoj) de nur unu sp. (L. chine
脾	lien	脾臓（ひぞう）
液	likv	ボルドー液
娇	lind	Alloge plac^aspekta.
抒	lirik	叙情詩の;叙情的な
床	lit	ダブルベッド
左	liv	Maldekstra: liva g^irado; turnu liven tuj post la angulo! ->
赖	lizin	Aminacido, NH 2 -(CH 2) 4-CH(NH 2)-COOH, unu el la 20 c^efaj
迎	lof	［他］船首を風上にむける
住	log^	［自］住む,居住する;泊まる,滞在する;《転》宿る
卿	lord	卿（英国貴族への敬称）;貴族
莲	lotus	スイレン（睡蓮）,>>nimfeo
赚	lukr	(tr (transitiva)) Perlabori: li lukras dolarojn po mil en se
奢	luks	ぜいたくな,豪奢（ごうしゃ）な,華美な
搏	lukt	［自］格闘する;レスリングをする;《転》闘う
荧	luminesk	［自］冷光を発する
狼	lup	狼の;《転》残虐な
嚼	mac^	［他］かみ砕く,かむ
硕	magistr	修士論文
磁	magnet	棒磁石
介	makler	［自］仲買業をする
疟	malari	マラリア熱
捶	male	［他］槌で打つ
葵	malv	薄紫色の,ふじ色の
橘	mandarin	マンダリン,ミカン（蜜柑）,>>orang^o
锰	mangan	マンガン（原子番号２５の金属元素）
袖	manik	そで（袖）,たもと;風見用吹流し
薯	maniok	ニガキャッサバ
缺	mank	欠けている,足りない,不備の
披	mantel	ゴムひきマント
造	manufaktur	［他］（工場で）製造する,製作する
稿	manuskript	原稿;手書き文書;写本
海	mar	遠洋,外洋
沼	marc^	湖沼
疆	marki	Regiono au^ provinco, kiu konsistigis limparton de imperio: 
锤	martel	金づちの頭
殉	martir	殉教者;《転》殉難者,受難者
眼	mas^	編み目;（網の）目;（定常波の）腹,=ventro
摩	masag^	［他］マッサージする
雄	maskl	《稀》=virseksa（雄の）
砌	mason	［他］（石・レンガで）築く
席	mat	［自］（チェス・将棋で）詰む
晨	maten	今朝（けさ）
籍	matrikul	［他］登録番号を付ける;=enmatrikuligi（登録する）
芯	mec^	灯心,（ろうそくなどの）芯;火縄;導火線;（排膿用の）ガーゼ芯
牌	medal	銀メダル
里	mejl	マイル（英=1609m、仏=7422m、独=7500m）;かなりの距離
挤	melk	［他］乳を搾（しぼ）る;（金などを）搾り取る
膜	membran	膜の,膜質の,膜状の
谎	mensog	嘘の,偽りの,虚偽の,>>malvera
蛤	meretrik	《Ｎ》ハマグリ（mang^ebla duvalva konkulo，_Meretrix lusoria_）
置	met	［他］置く,入れる,備え付ける,身につける;（ある状態に）する
陨	meteor	流星雨
都	metropol	（植民地に対して）本国;（国・地方の）中心都市,大都市,メトロポリス,>>c^efurbo
咪	miau^	［自］（猫が）ニャアと鳴く
胁	minac	威嚇的な,脅しの;（状況が）険悪な
万	miria	
误	mis	間違った,失敗の,不当な
玄	mistik	神秘の,霊的象徴の;神秘主義的な
惨	mizer	悲惨な,みじめな,あわれな;貧しい,みすぼらしい;くだらない,つまらない,下劣な
嘲	mok	あざけりの
艾	moks	つぼ
软	mol	やわらかい,柔軟な;優しい,柔和な;弱々しい;軟音の
臼	molar	大臼歯,=granda mueldento;臼歯（きゅうし）,=mueldento
矩	momant	双極子モーメント
垄	monopol	独占的な;専売の
山	mont	はげ山
碑	monument	巨石記念物
