版	区分	層	行	見出し	描画	別解析の復号
学術版	S2adj	PEJVO	L41582	tropism/o	向主义/o	alismo
学術版	S2adj	PEJVO	L41794	turban/o	头巾/o	kaptuko
学術版	S2adj	PEJVO	L42123	unu/di/ism/o	一/神/主义/o	unitariismo
学術版	S2adj	PEJVO	L42127	unu/ec/a	一/性/a	monofizita
学術版	S2adj	PEJVO	L42129	unu/ec/o	一/性/o	monofizito
学術版	S2adj	PEJVO	L42885	vel/s^ip/o	帆/船/o	skuno
学術版	S2adj	PEJVO	L43283	vibr/il/o	振/具/o	vibratoro
学術版	S2adj	PIV	L44609	aklimatiz/i	气候化/i	klimatizi
学術版	S2adj	PIV	L44843	altern/il/o	替/具/o	alternatoro
学術版	S2adj	PIV	L44952	amplif/il/o	扩/具/o	amplifikatoro
学術版	S2adj	PIV	L45023	anestez/a	无感/a	sensenta
学術版	S2adj	PIV	L45726	bazidimicet/oj	担子菌/oj	bazidifungoj
学術版	S2adj	PIV	L45970	borat/o	矿盐/o	minsalo
学術版	S2adj	PIV	L46745	dikro/a	二色/a	dukolora
学術版	S2adj	PIV	L46756	dilat/il/o	膨/具/o	dilatatoro
学術版	S2adj	PIV	L46758	dilatator/o	膨具/o	dilatilo
学術版	S2adj	PIV	L46793	diploid/a	二倍/a	duobla
学術版	S2adj	PIV	L47180	embrifit/oj	胚植/oj	embriplantoj
学術版	S2adj	PIV	L47580	falc^ator/o	收割具/o	falc^ilo
学術版	S2adj	PIV	L47865	flik/il/o	补/具/o	kompensatoro
学術版	S2adj	PIV	L48241	gastralgi/o	胃痛/o	stomakdoloro
学術版	S2adj	PIV	L48263	gej/o	同性/o	sameco
学術版	S2adj	PIV	L48286	geocentr/a	地央/a	tercentra
学術版	S2adj	PIV	L49134	homofon/o	同声/o	samsono
学術版	S2adj	PIV	L49486	integr/o	全/o	c^io
学術版	S2adj	PIV	L49597	izometri/a	等测/a	egalmezura
学術版	S2adj	PIV	L50051	karburator/o	碳具/o	karbonilo
学術版	S2adj	PIV	L51041	kserofit/o	干植/o	sekplanto
学術版	S2adj	PIV	L51259	lamprid/o	月鱼/o	lunfis^o
学術版	S2adj	PIV	L51407	levator/o	举具/o	levilo
学術版	S2adj	PIV	L52180	monofizit/o	一性/o	unueco
学術版	S2adj	PIV	L52181	monofizit/a	一性/a	unueca
学術版	S2adj	PIV	L52396	nelg/a	不长/a	nelonga
学術版	S2adj	PIV	L52619	obturator/o	堵具/o	s^topilo
学術版	S2adj	PIV	L53569	pleokro/a	多色/a	multkolora
学術版	S2adj	PIV	L53570	pleokro/ec/o	多色/性/o	multkoloreco
学術版	S2adj	PIV	L53652	poligon/a	多角/a	multangula
学術版	S2adj	PIV	L53667	poliploid/a	多倍/a	multobla
学術版	S2adj	PIV	L53861	projekciator/o	射具/o	pafilo
学術版	S2adj	PIV	L53963	protozo/o	原兽/o	prabesto
学術版	S2adj	PIV	L54124	rabotator/o	刨具/o	rabotilo
学術版	S2adj	PIV	L54829	sen/o	无/o	nenio
学術版	S2adj	PIV	L55084	skalen/o	斜角/o	klinangulo
学術版	S2adj	PIV	L55140	skrapator/o	刮具/o	skrapilo
学術版	S2adj	PIV	L55431	sterilizator/o	不育化具/o	sterilizilo
学術版	S2adj	PIV	L55432	steril/iz/il/o	不育/化/具/o	sterilizatoro
学術版	S2adj	PIV	L56609	unitari/ism/o	一神/主义/o	unudiismo
学術版	S2adj	PIV	L56865	vibrator/o	振具/o	vibrilo
学術版	S2adj	PIV	L57766	pra/best/o	原/兽/o	protozoo
学術版	S2adj	PIV	L58028	mal/dev/ig/i	反/应/使/i	reakciigi
学術版	S2adj	PIV	L58435	lun/fis^/o	月/鱼/o	lamprido
学術版	S2adj	PIV	L58509	kontrau^/flu/o	对/流/o	konvekto
