sargas	{Ｏ}【植】ホンダワラ属（の海藻）
balote	【植】【PIV】G. (Genro) (Ballota el lamiacoj) de plurjaraj, vilaj herboj kun purpuretaj au^ blankaj floroj en akselaj s^ajnverticiloj k kun kaliko havanta 5 (malofte
balzamit	【植】【PIV】Sp. (Specio) de tanaceto (Tanacetum balsamita, sin. (sinonimo (de latinscienca nomo)) Balsamita major) el Eu^ropo k U Azio, plurjara aromherbo 0,6−1 m a
bambuz	【植】【PIV】Tipa g. (genro) (Bambusa el poacoj) de bambuoj; c^. (c^irkau^) 120 sp-oj (specioj) el tropikaj k varmaj regionoj de Ameriko k Azio.
banjan	【植】【PIV】Sp. (Specio) de fikuso (Bengala fikuso) el Hindio k Pakistano, arbo kies branc^oj mem reenradikig^as, sankta por hinduoj.
bantam	【動】【PIV】Malgranda formo de kokbirdoj diversarasaj, c^e kiu la virkoko estas batalema.
barbare	【植】【PIV】G. (Genro) (Barbarea el brasikacoj) de du-k plur-jaraj herboj kun flavaj floroj en apeksaj grapoloj k kun longa, kvarflanka silikvo; 20 sp-oj (specioj),
barbi	【動】【PIV】Barbfis^o.
bau^hini	【植】【PIV】G. (Genro) (Bauhinia el fabacoj) de c^. (c^irkau^) 300 sp-oj (specioj) de tropikaj arboj, arbustoj k lianoj, pluraj pororname kultivataj por belaj, ofte
bazili	【植】【PIV】Sp. (Specio) de ocimo (Ocimum basilicum), unujara, bonodora herbo, kies fres^aj au^ sekigitaj folioj estas uzataj en kuirarto k por iuj farmaciaj^oj; he
bekabung	【植】【PIV】Sp. (Specio) de veroniko (Veronica beccabunga), plurjara, akveja herbo kun pli-malpli kus^antaj tigoj, kun ovalaj, krenelforme dentaj, malhele verdaj fo
belis	【植】【PIV】G. (Genro) (Bellis el asteracoj) de unu-k plur-jaraj herboj kun baza rozeto el simplaj folioj k kun radia kapitulo apekse de longa pedunklo; 8 sp-oj (sp
bemeri	【植】【PIV】G. (Genro) (Boehmeria el urtikacoj) de plurjaraj herboj, arbustoj k arboj, monoikaj au^ dioikaj, ne urtikecaj, kun alternaj au^ kontrau^e duopaj folioj 
bernikl	【動】【PIV】Sp. (Specio) (Branta bernicla) de relative malgranda, arkta birdo el la ordo de anseroformaj, kies kapo, kolo k brusto estas nigraj, dum c^irkau^ la kol
bertoleti	【植】【PIV】G. (Genro) (Bertholletia el lecitidacoj) de nur unu sp. (B. excelsa) de arbo el tropika S Ameriko, kiu produktas la Brazilan nukson. Vd lecitido.
bignoni	【植】【PIV】1 (ss (striktasence)) G. (Genro) (Bignonia el bignoniacoj) de nur unu sp. (B. capreolata), ligneca liano kun kontrau^e duopaj folioj dufolieraj k unuc^i
biks	【植】【PIV】G. (Genro) (Bixa el biksacoj) de nur unu sp. (B. orellana) de malgranda arbo kun longpetiolaj, korformaj, stipulohavaj folioj, kun rug^aj, rozaj au^ bla
birg	【動】【PIV】Krustaco (unuspecia g. (genro) Birgus latro) el fam. (familio) de paguredoj, kiu vivas sur la tero de Hindiaj k Pacifikaj insuloj k mang^as kokosojn.
biskutel	【植】【PIV】G. (Genro) (Biscutella el brasikacoj) de c^. (c^irkau^) 40 sp-oj (specioj) de unu-k plur-jaraj herboj el Eu^ropo, N Afriko k SU Azio, kun flavaj floroj 
bistort	【植】【PIV】Sp. (Specio) de poligono vs (vastasence) (Persicaria bistorta, sin. (sinonimo (de latinscienca nomo)) Polygonum b.) el Eu^ropo k Azio, plurjara herbo ku
blakbas	【動】【PIV】G. (Genro) (Micropterus) de rabfis^oj el la ordo de perkoformaj, origina el N Ameriko, enkondukitaj en Eu^ropon, karakterizataj de dorsa nag^ilo preskau
blapt	【動】【PIV】G. (Genro) (Blaps) de insektoj el la ordo de koleopteroj, kiuj eliras precipe nokte; ne malutilaj sed superstic^o rigardas ilin signo de morto.
blastocer	【動】【PIV】S-Amerika mamulo (unuspecia g. (genro) Blastocerus dichotomus) el la ordo de parhufuloj, fam. (familio) de cervedoj, kun 3−4-pinta ramuro.
bleti	【植】【PIV】G. (Genro) (Bletia el orkidacoj) de plurjaraj terlog^aj orkideoj kun plursegmentaj tuberoj, kiuj apekse portas longajn k mallarg^ajn foliojn po 2−4, k k
bobolink	【動】【PIV】Sp. (Specio) (Dolichonyx oryzivorus) de birdo el la ordo de paseroformaj, multkolora kun forta, flanke plata beko, kies malsupra parto estas la pli larg
bold	【植】【PIV】G. (Genro) (Peumus, sin. (sinonimo (de latinscienca nomo)) Boldeo, el Monimiaceae) de nur unu sp. (P. boldus) el C^ilio, dioika arbo kun s^elo uzata por
bomben	【動】【PIV】G. (Genro) (Bombina, sin. (sinonimo (de latinscienca nomo)) Bombinator) de malgrandaj Eu^ropaj anuroj kun okulfrape kolora ventro k grandaj verukoj en l
bombicil	【動】【PIV】G. (Genro) (Bombycilla) de birdoj el la ordo de paseroformaj birdoj, kun silkeca plumaro tre belkolora. Sin. (sinonimo) silkvostulo.
bonazi	【動】【PIV】Sp. (Specio) (Bonasa bonasia, sin. (sinonimo (de latinscienca nomo)) Tetrastes b.) de birdo el la ordo de galinoformaj, fam. (familio) de tetraonedoj, r
bonit	【動】【PIV】Kn (Kolektiva nomo) de diversaj, ne tre grandaj sp-oj (specioj) de fis^oj el la fam. (familio) de skombredoj.
bops	【動】【PIV】Fis^o (unuspecia g. (genro) Boops boops) el la ordo de perkoformaj, kun grandaj okuloj k malgranda bus^o, mang^anta akvo-vegetaj^ojn, vivanta en Mediter
boselaf	【動】【PIV】Granda, grizblua Hindia antilopo (unuspecia g. (genro) Boselaphus tragocamelus), kies virbesto havas mallongajn kornojn.
bostrik	【動】【PIV】1 G. (Genro) (Bostrychus) de koleopteroj, borantaj galeriojn en la subs^elo de arboj, por tie demeti siajn ovojn, k tial kau^zantaj gravajn damag^ojn al
bosveli	【植】【PIV】G. (Genro) (Boswellia el burseracoj) de balzamaj arboj kun nepare kunmetaj folioj k kun floroj en ofte grandaj grapoloj; c^. (c^irkau^) 20 sp-oj (specio
botrit	【植】【PIV】G. (Genro) (Botrytis) de mikroskopaj, neperfektaj fungoj kun unuc^elaj konidioj arig^intaj kvazau^ en grapolojn; kosmopolita g. (genro) de c^. (c^irkau^
botrop	【動】【PIV】G. (Genro) (Bothrops) de venenaj serpentoj, vivantaj en tropika Ameriko, parencaj al krotalo, kiuj havas larg^an kapon k prenvoston, k vivas sur arboj k
boviste	【植】【PIV】G. (Genro) (Bovista el likoperdacoj) de bazidifungoj kun globforma, ferma bazidiujo tute senpedunkla, kiu c^e maturig^o ellasas per apeksa ostiolo la en
brakin	【動】【PIV】G. (Genro) (Brachynus) de koleopteroj, kiuj kontrau^ malamiko krake eligas nubeton da malbonodora gaso. Vd bombardskarabo.
brankiostom	【動】【PIV】G. (Genro) (Branchiostoma) de h^orduloj el la subfilumo de senkraniuloj, kiuj aspektas kiel malgrandaj, blankaj fis^oj, sed posedas nur h^ordon, ne spin
brioni	【植】【PIV】G. (Genro) (Bryonia el kukurbacoj) de plurjaraj, monoikaj au^ dioikaj lianoj kun tubera, laksiga, venena radiko k kun karnaj fruktoj (multasemaj beroj);
bromeli	【植】【PIV】G. (Genro) (Bromelia el bromeliacoj) de plurjaraj herboj kun mallonga tigo, kiu portas densan rozeton el longaj k mallarg^aj, dornarandaj folioj, kun in
bromus	【植】【PIV】G. (Genro) (Bromus el poacoj) de herboj unu-k plur-jaraj, kun spiketoj en simpla au^ branc^a paniklo; c^. (c^irkau^) 100 sp-oj (specioj) el la mezvarmaj
brosm	【動】【PIV】Mara fis^o (unuspecia g. (genro) Brosme brosme) el la ordo de gadoformaj, fam. (familio) de gadedoj, tre granda, kun tre longaj dorsa k anusa nag^iloj.
brunel	【植】【PIV】G. (Genro) (Prunella, sin. (sinonimo (de latinscienca nomo)) Brunella, el lamiacoj) de 4 sp-oj (specioj) de plurjaraj herboj el la mezvarmaj regionoj. -
brunfelsi	【植】【PIV】G. (Genro) (Brunfelsia el solanacoj) de dau^rafoliaj arboj k arbustoj kun alternaj, ledecaj, elipsaj au^ lancetformaj folioj k kun bluaj, blankaj au^ vi
