# ★このファイルに載っている表示だけが使用可能。新しい組み合わせを作ってはいけない。

## [1] 既存の単字master = 2091字 (生物に使われているものを先頭に)
字	語根数	既に何に割り当てられているか
二价(divalent) 囊室除(divertikulektomi) 分须(dividend) 十二面(dodekaedr) 甘苦(dolc^amar) 量学(dozologi) 量计(dozometr) 龙头(drakocefal) 短翅(efemeropter) 海胆皮(eh^inoderm)
展计(eksponometr) 表主义(ekspresionism) 表家(ekspresionist) 外皮(ektoderm) 外浆(ektoplasm) 存主义(ekzistencialism) 存家(ekzistencialist) 外配(ekzogami) 外生(ekzogen) 外热(ekzoterm)
弹链节(elastomer) 电声(elektrofon) 电价(elektrovalent) 胚学家(embriolog) 胚学(embriologi) 验主义(empirism) 验家(empirist) 脑痛(encefalalgi) 脑志(encefalografi) 脑图(encefalogram)
脑病(encefalopati) 内皮(endoderm) 内配(endogami) 内生(endogen) 内心(endokard) 内心炎(endokardit) 内分泌学(endokrinologi) 内形(endomorfi) 内浆(endoplasm) 内镜(endoskop)
内渗(endosmoz) 内种(endosperm) 内热(endoterm) 肠痛(enteralgi) 虫学家(entomolog) 虫学(entomologi) 酵素学(enzimologi) 室膜炎(ependimit) 表央(epicentr) 疫学(epidemiologi)
表皮(epiderm) 表通镜(epidiaskop) 副现象(epifenomen) 表植(epifit) 骨端炎(epifizit) 表胃(epigastr) 表源(epigenez) 表声门(epiglot) 后话(epilog) 表形(epimorfi)
后古石学(epipaleolitik) 上皮瘤(epiteliom) 红胚(eritroblast) 红生(eritropoez) 红生素(eritropoezin) 色生(erotogen) 色情学(erotologi) 色情狂(erotomani) 梯具(eskalator) 感计(estezometr)
讲台(estrad) 源学家(etimolog) 源学(etimologi) 因学家(etiolog) 因学(etiologi) 族记(etnograf) 族志(etnografi) 族学家(etnolog) 族学(etnologi) 乙氧(etoksi)
良律(eu^ritm) 食管炎(ezofagit) 收割具(falc^ator) 药学家(farmakolog) 药学(farmakologi) 淀粉(fekul) 女家(feminist) 现学(fenomenologi) 现型(fenotip) 铁青(ferocian)
纤蛋白生(fibrinogen) 纤瘤(fibrom) 纤镜(fibroskop) 博爱者(filantrop) 博爱(filantropi) 系源(filogenez) 爱学家(filolog) 植地志(fitogeografi) 植疗(fitoterapi) 物理志(fiziografi)
生理学家(fiziolog) 脉切(flebotomi) 流计(fluometr) 气化(fluorid) 焦点疗(fokusterapi) 音主义(fonetism) 音家(fonetist) 声字(fonogram) 声学(fonologi) 声测(fonometri)
声子(fonon) 声镜(fonoskop) 形盐(formiat) 形基(formiil) 磷盐血(fosfatemi) 磷盐尿(fosfaturi) 磷化(fosfid) 光胞(fotoc^el) 拍玉雕(fotogliptik) 拍志(fotografi)
拍刻(fotogravur) 光化学(fotokemi) 拍色(fotokromi) 拍石志(fotolitografi) 光测(fotometri) 光球(fotosfer) 光合(fotosintez) 拍态(fotostat) 拍远记(fototelegraf) 光向主义(fototropism)
频计(frekvencometr) 冷疗(fridoterapi) 果学家(fruktolog) 果学(fruktologi) 结核学家(ftizolog) 结核学(ftizologi) 蜡蝉形(fulgoromorf) 未学家(futurolog) 未学(futurologi) 电塑(galvanoplastik)
配子植(gametofit) 胃菌(gasteromicet) 胃痛(gastralgi) 胃除(gastrektomi) 胃肠炎(gastrenterit) 胃爱(gastrofil) 胃室(gastrokamer) 胃学(gastronom) 胃足(gastropod) 胃抽筋(gastrospasm)
胃漏(gastrostomi) 胃切(gastrotomi) 系学家(genealog) 系学(genealogi) 生型(genotip) 地央(geocentr) 地力(geodinamik) 地物理(geofizik) 地化学(geokemi) 地时学(geokronologi)
地形学(geomorfologi) 地政(geopolitik) 地球(geosfer) 地向斜(geosinklinal) 地技(geoteknik) 地热学(geotermik) 地向主义(geotropism) 女学家(ginekolog) 女学(ginekologi) 牙肉炎(gingivit)
石膏爱(gipsofil) 旋磁(giromagnet) 旋计(girometr) 旋镜(giroskop) 冰学家(glaciolog) 冰学(glaciologi) 糖原源(glikogenogenez) 糖原解(glikogenoliz) 球镜(globoskop) 舌除(glosektomi)
舌炎(glosit) 谷氨盐(glutamat) 角测(goniometri) 淋菌血(gonokokemi) 记主义(grafism) 记学家(grafolog) 记学(grafologi) 记抽筋(grafospasm) 粒胞(granulocit) 重测(gravimetri)
引计(gravitometr) 引测(gravitometri) 土源(grundgenez) 土学(grundologi) 圣记(hagiograf) 圣志(hagiografi) 六面(heksaedr) 六米(heksametr) 百记(hektograf) 百克(hektogram)
百升(hektolitr) 百米(hektometr) 日央(heliocentr) 日光镜(heliograf) 日光信(heliografi) 日刻(heliogravur) 日镜(helioskop) 日态(heliostat) 日疗(helioterapi) 日向主义(heliotropism)
蠕学(helmintologi) 血足(hematopod) 血症(hematoz) 半盲(hemianopsi) 半颅(hemikrani) 半瘫(hemiplegi) 半翅(hemipter) 血解(hemoliz) 血滞(hemostaz) 肝炎(hepatit)
草杀(herbicid) 异配子(heterogamet) 他律(heteronomi) 异翅(heteropter) 异合子(heterozigot) 水酸(hidracid) 水气划(hidroaeroplan) 水力(hidrodinamik) 水电(hidroelektr) 水爱(hidrofil)
水怕(hidrofob) 水症(hidrofobi) 水声(hidrofon) 水地学家(hidrogeolog) 水地学(hidrogeologi) 水记(hidrograf) 水志(hidrografi) 水炭子(hidrokarbid) 水碳(hidrokarbon) 水氧(hidroksi)
水氧化(hidroksid) 水解(hidroliz) 水学家(hidrolog) 水学(hidrologi) 水计(hidrometr) 水测(hidrometri) 水划(hidroplan) 水球(hidrosfer) 水静(hidrostatik) 水硫盐(hidrosulfit)
水疗(hidroterapi) 湿记(higrograf) 湿计(higrometr) 湿测(higrometri) 湿镜(higroskop) 膜菌(himenomicet) 膜翅(himenopter) 超血(hiperemi) 超临界(hiperkrit) 超名(hiperonim)
超压(hipertensi) 超养(hipertrofi) 催眠疗(hipnototerapi) 亚央(hipocentr) 亚皮(hipoderm) 马道(hipodrom) 亚感(hipoestez) 亚胃(hipogastr) 亚舌(hipoglos) 马狮鹰(hipogrif)
马栗(hipokas^tan) 亚软骨(hipokondr) 亚名(hiponim) 马河(hipopotam) 亚滞(hipostaz) 亚丘脑(hipotalam) 亚鱼际(hipotenar) 亚压(hipotensi) 亚题(hipotez) 高图(hipsogram)
织源(histogenez) 织学家(histolog) 史记(historiograf) 史志(historiografi) 全头(holocefal) 全记(holograf) 全志(holografi) 全图(hologram) 同声(homofon) 同色(homokromi)
同名(homonim) 同翅(homopter) 同合子(homozigot) 钟镜(horoskop) 意字(ideogram) 意学家(ideolog) 愚主义(idiotism) 圣像志(ikonografi) 圣像屑(ikonoklast) 圣像学(ikonologi)
圣像镜(ikonoskop) 圣像滞(ikonostaz) 鱼学(iktiologi) 印象主义(impresionism) 印象家(impresionist) 冲计(impulsometr) 免学(imunologi) 个主义(individualism) 个家(individualist) 梗生(infarktogen)
胰岛素疗(insulinoterapi) 间面(interfac) 涉计(interferometr) 涉测(interferometri) 间声(interfon) 间语家(interlingvist) 间学(interlingvistik) 虹膜除(irisektomi) 虹膜炎(irisit) 虹膜切(irisotomi)
坐神痛(iskiatalgi) 等压(izobar) 等青盐(izocianat) 等力(izodinam) 等电(izoelektr) 等语(izoglos) 等斜(izoklin) 等亮(izoleu^cin) 隔计(izolmetr) 等米(izometr)
等测(izometri) 等足(izopod) 等翅(izopter) 等分流(izos^unt) 等旋(izospin) 等滞(izostaz) 等热(izoterm) 碘盐(jodat) 碘化(jodid) 碘基(jodil)
碘形(jodoform) 碘测(jodometri) 离子球(jonosfer) 缆图(kablogram) 劣志(kakografi) 算计(kalkulmetr) 渠化(kanaliz) 癌生(kancerogen) 癌学(kancerologi) 格学(karakterologi)
炭化(karbid) 碳化(karbonid) 碳基(karbonil) 碳具(karburator) 心肌病(kardimiopati) 心似(kardioid) 心学(kardiologi) 心切(kardiotomi) 胃门痛(kardjalgi) 胃门切(kardjotomi)
卡记(kartograf) 卡志(kartografi) 疑难家(kazuist) 化学疗(kemiterapi) 角炎(keratit) 千字节(kilobajt) 千位(kilobit) 千环(kilocikl) 千升(kilolitr) 千足(kilopod)
动病(kinezopati) 映镜(kinoskop) 支源(kladogenez) 气候学家(klimatolog) 气候疗(klimatoterapi) 阴蒂除(klitorektomi) 氯血(kloremi) 绿藻(klorofic) 绿植(klorofit) 结肠除(kojlektomi)
结肠漏(kojlostomi) 股痛(koksalgi) 股炎(koksit) 股病(koksopati) 崩疗(kolapsoterapi) 胆囊炎(kolecistit) 胆血(koleemi) 胆醇血(kolesterolemi) 昏生(komatogen) 补具(kompensator)
换具(komutator) 凝具(kondensator) 软骨除(kondrektomi) 软骨炎(kondrit) 软骨瘤(kondrom) 结膜炎(konjunktivit) 贝学(konkologi) 抽风疗(konvulsiterapi) 弦炎(kordit) 茎叶体植(kormofit)
皮疗(kortikoterapi) 皮向(kortikotrop) 宇源(kosmogoni) 宇记(kosmograf) 宇志(kosmografi) 宇学家(kosmolog) 宇学(kosmologi) 宇航(kosmonau^t) 宇航学(kosmonau^tik) 颅学(kraniologi)
颅测(kraniometri) 酪计(kremometr) 罪学家(krimolog) 罪学(krimologi) 冻生学(kriogenik) 冻测(kriometri) 冻镜(krioskopi) 冻态(kriostat) 冻疗(krioterapi) 墓窖名(kriptonim)
晶记(kristalograf) 晶志(kristalografi) 色志(kromatografi) 金黄(kromiflav) 色拍志(kromofotografi) 色石志(kromolitografi) 色球(kromosfer) 时记(kronograf) 时学(kronologi) 时测(kronometri)
时层志(kronostratigrafi) 外怕(ksenofob) 外症(ksenofobi) 干皮(kseroderm) 干植(kserofit) 干目(kseroftalmi) 干志(kserografi) 木声(ksilofon) 木记(ksilograf) 木志(ksilografi)
栽具(kultivator) 木盐(kumarat) 廷疗(kuriterapi) 腹镜(laparoskopi) 腹切(laparotomi) 喉炎(laringit) 喉学家(laringolog) 喉学(laringologi) 喉镜(laringoskopi) 喉切(laringotomi)
词汇记(leksikograf) 词汇志(leksikografi) 词汇学家(leksikolog) 词汇学(leksikologi) 镜计(lensometr) 白生(leu^kopoez) 举具(levator) 脾除(lienektomi) 脾炎(lienit) 淋主义(limfatism)
淋胞(limfocit) 脂解(lipoliz) 脂瘤(lipom) 脂蛋白(lipoprotein) 石志(litografi) 石学(litologi) 石球(litosfer) 石镜(litoskop) 石切(litotomi) 解体(lizosom)
处动(lokomobil) 腰痛(lumbalgi) 磁计(magnetometr) 磁子(magneton) 磁球(magnetosfer) 磁镜(magnetoskop) 磁勒(magnetostring) 宏头(makrocefal) 宏吞(makrofag) 宏宇(makrokosm)
宏计(makrometr) 宏足(makropod) 宏镜(makroskop) 疟学(malariologi) 疟疗(malarioterapi) 乳痛(mamalgi) 乳除(mamektomi) 乳志(mamografi) 操具(manipulator) 图包(mapotek)
乳突炎(mastoidit) 纵隔炎(mediastinit) 境学(mediologi) 髓除(medolektomi) 巨声(megafon) 巨石(megalit) 兆计(megommetr) 械家(meh^anist) 械化(meh^aniz) 械记(meh^anograf)
械志(meh^anografi) 黑血(melanemi) 黑瘤(melanom) 脑膜炎(meningit) 超央(metacentr) 超相(metafaz) 金志(metalografi) 超心(metapsiki) 超稳(metastabil) 超滞(metastaz)
超足根(metatars) 陨主义(meteorism) 方法学(metodologi) 米学(metrologi) 计律(metronom) 中头(mezocefal) 中皮(mezoderm) 中石学(mezolitik) 肌炎(miit) 菌浆(mikoplasm)
细菌杀(mikrobicid) 微生学(mikrobiologi) 细菌学(mikrobologi) 微角砾岩(mikrobrec^i) 微影(mikrofilm) 微植相(mikroflau^r) 微声(mikrofon) 微粒(mikrograjn) 微槽(mikrokanel) 微菌(mikrokok)
微宇(mikrokosm) 微信受(mikrokredit) 微晶(mikrokristal) 微石(mikrolit) 微米(mikrometr) 微测具(mikromezuril) 微动(mikromov) 微波(mikroond) 微器主义(mikroorganism) 微移液(mikropipet)
微切(mikrotom) 毫克(miligram) 印记(mimeograf) 矿学家(mineralog) 矿学(mineralogi) 分具(minutator) 肌病(miopati) 万米(miriametr) 万足(miriapod) 鼓膜炎(miringit)
鼓膜切(miringotomi) 神话学家(mitolog) 神话学(mitologi) 适具(moderator) 单主义(monism) 单家(monist) 单配(monogami) 单志(monografi) 单字(monogram) 单斜(monoklin)
单子叶(monokotiledon) 单晶(monokristal) 单石(monolit) 单话(monolog) 单狂(monomani) 单链节(monomer) 单形(monomorfi) 单氧化(monooksid) 单瓣(monopetal) 单划(monoplan)
单蔗子(monosakarid) 单体(monosom) 单神主义(monoteism) 单神家(monoteist) 单型(monotip) 山黑(montenegr) 形源(morfogenez) 形学(morfologi) 粘症(mukoz) 筋症(muskoloz)
自然主义(naturalism) 自然家(naturalist) 云计(nefometr) 云镜(nefoskop) 肾除(nefrektomi) 肾学(nefrologi) 肾病(nefropati) 死爱(nekrofili) 死症(nekroz) 新石学(neolitik)
新话(neolog) 新浆(neoplasm) 新生(neoplazi) 神经痛(neu^ralgi) 神经弱(neu^rasteni) 神经外科(neu^rokirurgi) 神经学家(neu^rolog) 神经瘤(neu^rom) 神经病(neu^ropati) 神经翅(neu^ropter)
神经胞子(neu^rospor) 神经向(neu^rotrop) 无主义(nihilism) 无家(nihilist) 精狂(nimfomani) 氮化(nitrid) 核子(nukleon) 号具(numerator) 堵具(obturator) 洋志(oceanografi)
洋学家(oceanolog) 洋学(oceanologi) 目炎(oftalmit) 目学家(oftalmolog) 目学(oftalmologi) 目计(oftalmometr) 八面(oktaedr) 油计(oleometr) 油体(oleosom) 寡素(oligoelement)
寡链节(oligomer) 寡疗(oligoterapi) 波计(ondometr) 肿瘤生(onkogen) 肿瘤学(onkologi) 在源(ontogenez) 存在学(ontologi) 视计(optometr) 视测(optometri) 器主义(organism)
东主义(orientalism) 东家(orientalist) 东学家(orientolog) 东学(orientologi) 兰除(orkidektomi) 兰炎(orkidit) 兰疗(orkidoterapi) 鸟学家(ornitolog) 鸟学(ornitologi) 鸟足(ornitopod)
鸟嘴(ornitorink) 直源(ortogenez) 直图(ortogram) 直翅(ortopter) 直角菱(ortoromb) 振记(oscilograf) 振镜(osciloskop) 骨痛(ostalgi) 骨除(ostektomi) 骨炎(ostit)
骨生(ostogen) 骨源(ostogenez) 骨学(ostologi) 骨瘤(ostom) 骨切(ostotomi) 陶片皮(ostrakoderm) 耳痛(otalgi) 耳炎(otit) 耳学(otologi) 耳鼻喉学(otorinolaringologi)
卵巢除(ovariektomi) 卵巢炎(ovariit) 卵胞(ovocit) 臭氧计(ozonometr) 臭氧疗(ozonterapi) 和主义(pacifism) 和家(pacifist) 口顶炎(palatit) 古记(paleograf) 古志(paleografi)
古石学(paleolitik) 目皮炎(palpebrit) 圆锥炎(paniklit) 胰除(pankreatektomi) 胰炎(pankreatit) 全色(pankromat) 全神主义(panteism) 全神家(panteist) 纸草学家(papirolog) 纸草学(papirologi)
并图(paralelogram) 寄生杀(paraziticid) 寄生学(parazitologi) 极主义(paroksism) 腮腺炎(parotidit) 病生(patogen) 病源(patogenez) 病学家(patolog) 父学(patrologi) 童爱(pedofili)
童学(pedologi) 盆测(pelvometri) 青霉素疗(penicilinoterapi) 阴茎炎(penisit) 五图(pentagram) 五米(pentametr) 围环(pericikl) 围句(perifraz) 围冰(periglaci) 围日(periheli)
围心炎(perikardiit) 围测(perimetr) 围镜(periskop) 围种(perisperm) 围灵(perispirit) 浸被(perkolat) 浸具(perkolator) 过锰盐(permanganat) 过氧化(peroksid) 扰记(perturbograf)
悲主义(pesimism) 悲家(pesimist) 岩志(petrografi) 岩学家(petrolog) 岩学(petrologi) 岩伞(petroselin) 敬主义(pietism) 敬家(pietist) 松植(pinofit) 脓血(pioemi)
脓生(piogen) 火地计(pirgeometr) 火日计(pirheliometr) 火电(piroelektr) 火树瘤(pirogajl) 火解(piroliz) 火磁(piromagnet) 火计(pirometr) 捣具(pistil) 豌石(pizolit)
肾盆炎(pjelit) 板皮(plakoderm) 平计(planimetr) 平测(planimetri) 植学家(plantolog) 植学(plantologi) 浆配(plasmogami) 胸膜炎(pleu^rit) 肺除(pneu^monektomi) 肺学(pneu^monologi)
肺病(pneu^monopati) 极计(polarimetr) 极记(polarograf) 极志(polarografi) 战学家(polemolog) 战学(polemologi) 粉学家(polenolog) 粉学(polenologi) 粉症(polenoz) 多面(poliedr)
多声(polifoni) 多诊(poliklinik) 多核(polinukle) 灰髓炎(poliomjelit) 多倍(poliploid) 多足(polipodi) 息肉症(polipoz) 多神主义(politeism) 多神家(politeist) 多技(politeknik)
多毛(politrik) 苹学家(pomolog) 苹学(pomologi) 求被(postulat) 谓能(predikativ) 戏法员(prestidigitator) 灵长学(primatologi) 前相(profaz) 射具(projekciator) 前话(prolog)
前列腺除(prostatektomi) 前列腺炎(prostatit) 原恶棍(protokanajl) 原浆(protoplasm) 原翅(protopter) 谚学家(proverbolog) 谚学(proverbologi) 省主义(provincialism) 前毒(provirus) 伪节(pseu^doartr)
伪名(pseu^donim) 伪足(pseu^dopod) 心症(psikoz) 咬虫翅(psokopter) 翼甲形(pteraspidmorf) 羊齿植(pteridofit) 翅足(pteropod) 耻骨切(pubiotomi) 瓤炎(pulpit) 刨具(rabotator)
根炎(radiklit) 射拍志(radiofotografi) 射志(radiografi) 射图(radiogram) 射学家(radiolog) 射学(radiologi) 射镜(radioskopi) 脊痛(rakialgi) 报被(referat) 反射学(refleksologi)
折计(refraktometr) 规具(regulator) 流学(reologi) 流态(reostat) 网膜炎(retinit) 网膜病(retinopati) 再触(retus^) 风湿学家(reu^matolog) 风湿学(reu^matologi) 鼻炎(rinit)
鼻学(rinologi) 鼻塑(rinoplasti) 鼻镜(rinoskopi) 根形(rizomorf) 根足(rizopod) 王主义(rojalism) 王党者(rojalist) 菱面(romboedr) 露计(rosometr) 载具(s^arg^ator)
蔗盐(sakarat) 蔗计(sakarometr) 蔗测(sakarometri) 蔗菌(sakaromicet) 柳盐(salikat) 腐植(saprofit) 腐兽(saprozo) 闪志(scintilografi) 闪图(scintilogram) 闪计(scintilometr)
沉学家(sedimentolog) 沉学(sedimentologi) 震图(seismogram) 震学家(seismolog) 性学家(seksolog) 性学(seksologi) 符学(semiologi) 感测(sensometri) 腐血(sepsemi) 血清学(serologi)
蛇学家(serpentolog) 蛇学(serpentologi) 球计(sferometr) 脉记(sfigmograf) 脉志(sfigmografi) 天蛾脂(sfinglipid) 唾生(sialogen) 硅化(siliciid) 硅症(silikoz) 论主义(silogism)
交感除(simpatektomi) 症学(simptomologi) 混主义(sinkretism) 共时镜(sinkronoskop) 共名学(sinonimik) 滑炎(sinoviit) 扫记(skanograf) 扫志(skanografi) 肩痛(skapolalgi) 划具(skarifikator)
裂菌(skizomicet) 巩膜炎(sklerotit) 镜爱(skopofili) 刮具(skrapator) 社学家(sociolog) 体配(somatogami) 观员(spektator) 谱图(spektrogram) 谱计(spektrometr) 谱测(spektrometri)
洞学家(speleolog) 洞学(speleologi) 精胞(spermatocit) 精植(spermatofit) 精源(spermatogenez) 精液杀(spermicid) 精液源(spermogoni) 灵主义(spiritualism) 灵家(spiritualist) 息计(spirometr)
息测(spirometri) 胞子植(sporofit) 胞子源(sporogoni) 配比测(stekiometri) 立体志(stereografi) 立体测(stereometri) 立体划记(stereoplanigraf) 立体切(stereotomi) 不育化具(sterilizator) 胸镜(stetoskop)
口炎(stomatit) 口学家(stomatolog) 口学(stomatologi) 斜切(strabotomi) 层记(stratigraf) 层志(stratigrafi) 填毛(stuphar) 崇被(sublimat) 糖盐(sukerat) 氨硫盐(sulfamat)
硫青盐(sulfcianat) 硫化(sulfid) 阳疗(sunterapi) 上位(superpozici) 速记(takigraf) 速心(takikardi) 车计(taksimetr) 道主义(taoism) 道家(taoist) 足根痛(tarsalgi)
眼板炎(tarzit) 技学(teknikologi) 远影(telefilm) 远拍记(telefotograf) 远动(telekinez) 远令(telekomand) 远复(telekopi) 远计(telemetr) 远测(telemetri) 远情(telepati)
筋炎(tendenit) 筋切(tendenotomi) 条虫杀(teniicid) 压测(tensimetri) 神源(teogoni) 神学家(teolog) 畸生(teratogen) 畸学(teratologi) 畸瘤(teratom) 词学家(terminolog)
词学(terminologi) 热浴(termoban) 热瓶(termobotel) 热力(termodinamik) 热电子(termoelektron) 热素(termoelement) 热泉(termofont) 热生(termogen) 热源(termogenez) 热记(termograf)
热灼(termokau^ter) 热连(termokupl) 热学(termologi) 热测(termometri) 热核(termonukle) 热偶(termopar) 热规使(termoregulig) 热规使具(termoreguligil) 热转(termorelajs) 热虹吸(termosifon)
热镜(termoskop) 热态(termostat) 热静(termostatik) 热疗(termoterapi) 丸炎(testikit) 四字(tetragram) 四链节(tetramer) 四硫(tetrationat) 疹似(tifoid) 鼓室炎(timpanit)
型记(tipograf) 型记艺(tipografart) 型学(tipologi) 型计(tipometr) 甲状切(tireotomi) 甲状除(tiroidektomi) 甲状炎(tiroidit) 扁桃除(tonsilektomi) 扁桃炎(tonsilit) 地志(topografi)
拧计(tordometr) 气管植(trakeofit) 越形具(transformator) 创学(trau^matologi) 颤计(tremometr) 毛病(trikopati) 毛生(trikoplazi) 毛翅(trikopter) 三叶受(trilobit) 三链节(trimer)
三蔗子(trisakarid) 三体(trisom) 栓除(trombektomi) 栓胞(trombocit) 向主义(tropism) 极海(ultramar) 尿酸盐血(uratemi) 尿素盐(ureat) 尿素血(ureemi) 尿计(urinometr)
尿镜(urinoskopi) 尿志(urografi) 尿学家(urolog) 宫炎(uterit) 葡萄膜炎(uveit) 篡员(uzurpator) 阴道痛(vaginalgi) 套炎(vaginalit) 阴道主义(vaginism) 阴道炎(vaginit)
荡狂(vagomani) 荡切(vagotomi) 空计(vakumetr) 汽计(vapormetr) 变在(variant) 变计(variometr) 瓦钟计(vathorometr) 瓦计(vatmetr) 旗学(veksilologi) 性病学(venerologi)
精丘炎(verumontanit) 振声(vibrafon) 振计(vibrometr) 酒学家(vinolog) 酒学(vinologi) 粘计(viskozometr) 葡学(vitologi) 活切(vivisekci) 活者杀(vivulicid) 积计(volumenometr)
火山学家(vulkanolog) 火山学(vulkanologi) 外阴炎(vulvit) 锌盐(zinkat) 兽植(zoofit) 兽地志(zoogeografi) 兽学家(zoolog) 兽形(zoomorf) 自旋(au^togir) 自配(au^togami)
自催(au^tokataliz) 自形(au^tomorfi) 腺炎(adenit) 射菌(aktinomicet) 无形(amorf) 无字(analfabet) 无名(anonim) 抗足(antipod) 抗腐(antiseps) 人吞(antropofag)
无情(apati) 无足(apod) 古翅(arkeopterig) 无养(atrofi) 自主义(au^tism) 鲸翅(balenopter) 二配(bigami) 生志(biografi) 胚菌(blastomicet) 从德化(demoraliz)
密计(densometr) 从氧(deoksi) 通测(diametr) 二形(dimorf) 二氧化(dioksid) 二足(dipod) 渴狂(dipsomani) 治在(dominant) 境学家(ekolog) 电子(elektron)
映形(enantiomorf) 映向(enantiotrop) 脑炎(encefalit) 表记(epigraf) 表记学(epigrafik) 表字(epigram) 吞胞(fagocit) 铁盐(ferat) 物理疗(fizioterapi) 磷基(fosforil)
光计(fotometr) 光子(foton) 句学(frazeologi) 地热(geoterm) 糖解(glukoliz) 角计(goniometr) 日向(heliotrop) 半脊索(hemih^ord) 异生(heterogen) 水头(hidrocefal)
水热(hidroterm) 织学(histologi) 全面(holoedr) 同生(homogen) 同学(homologi) 等时(izokron) 等丙(izopropil) 等调(izoton) 等向(izotrop) 碳盐(karbonat)
心图(kardiogram) 灼化(kau^teriz) 千克(kilogram) 千瓦(kilovat) 动疗(kinezoterapi) 偷狂(kleptomani) 气候学(klimatologi) 氯化(klorid) 氯化血(kloridemi) 结肠炎(kojlit)
脉膜炎(koroidit) 时计(kronometr) 巨狂(megalomani) 百万瓦(megavat) 超物理(metafizik) 超形(metamorf) 微镜(mikroskop) 微胞子(mikrospor) 军主义(militarism) 军家(militarist)
神话狂(mitomani) 动化(mobiliz) 单色(monokromat) 单调(monoton) 肾炎(nefrit) 神经炎(neu^rit) 神经症(neu^roz) 直声(ortofon) 直色(ortokromat) 病学(patologi)
围骨(periost) 火技(piroteknik) 白金盐(platenat) 极化(polariz) 多配(poligami) 多链节(polimer) 多形(polimorf) 多翅(polipter) 多蔗子(polisakarid) 淫记(pornograf)
淫志(pornografi) 伪形(pseu^domorf) 射感(radiestez) 射活(radioaktiv) 射记(radiograf) 再引(recit) 再名(renom) 风湿主义(reu^matism) 果被(rezultat) 卵管炎(salpingit)
共时(sinkron) 共名(sinonim) 硬症(skleroz) 社学(sociologi) 谱记(spektrograf) 胞子脉(sporangi) 酒石盐(tartrat) 神学(teologi) 热电(termoelektr) 触向(tiksotrop)
型志(tipografi) 毒狂(toksomani) 结症(tuberkuloz) 远志(telegrafi) 水生(hidrogen) 氧生(oksigen) 氮生(nitrogen) 通图(diagram) 图声(gramofon) 自然化(naturaliz)
令受(komandit) 生理学(fiziologi) 爱学(filologi) 表意(ideografi) 超形症(metamorfoz) 死志(nekrolog) 质子子(proton) 抗质子子(antiproton) 菌菌(mikobakteri) 不可知主义(agnostikism)
十二指肠炎(duodenit) 内分泌学家(endokrinolog) 密螺旋体杀(treponemicid) 新话主义倾(neologismem) 力计(dinamometr) 电力主义(elektrodinamism) 六氯(heksaklor) 乳糖(laktoz) 麦芽糖(maltoz) 蔗糖(sakaroz)
糊糖(ameloz) 果糖(fruktoz) 木糖(ksiloz) 精糖(rafinoz) 水苏糖(stakioz) 从氧糖(deoksioz) 金基(kromiil) 表环(epicikl) 亚环(hipocikl) 间星(interstel)
息具(spirator) 洞具(kavator) 毛菌(trikomicet) 配子源(gametogenez) 红胞血(eritrocitemi) 粒胞血(granulocitemi) 血球血(globulemi) 糖源(glukogenez) 色力(kromodinamik) 纤炎(fibrit)
球炎(bulbit) 电产(elektroprodukto) 磁铁矿(magnetit)
