# ★このファイルに載っている表示だけが使用可能。新しい組み合わせを作ってはいけない。

## [1] 既存の単字master = 2091字 (生物に使われているものを先頭に)
字	語根数	既に何に割り当てられているか
菇	1	bolet=【菌】イグチ（アミタケ科のキノコの総称）,=tu
枫	1	acer={Ｏ}【植】カエデ（楓）（属）
葛	1	arorut=【植】クズウコン;【料】アロールートデンプン;（
柑	1	citrus=【植】かんきつ（柑橘）類（の樹木、ミカン・ダイダ
猩	1	goril={Ｏ}【動】ゴリラ
橘	1	mandarin={Ｏ}【果】マンダリン,ミカン（蜜柑）,>>or
荔	1	lic^i=【植】【PIV】1 G. (Genro) (Li
榕	1	fikus=【植】【PIV】G. (Genro) (Ficu
胎	1	fet=【動】胎児（妊娠３ヶ月以降）,>>embrio
砰	1	pum=【動】ピューマ
颖	1	glum=【植】包穎（ほうえい）
猬	1	erinac={Ｏ}【動】ハリネズミ
苞	1	brakte=【植】【PIV】Folio, aksele de
柏	1	cipres={Ｏ}【植】イトスギ（ヨーロッパでは喪の象徴）
藤	1	heder={Ｏ}【植】キヅタ（属）,ヘデラ,アイビー

### [1b] 生物以外の単字master(参考・解剖/器官などに使える)
金(vendred) 气(aer) 带(zon) 团(grup) 车(aŭt) 复(ripet) 鸣(blek) 异(fremd) 顶(supr) 幻(rev) 生(okaz) 帽(ĉapel)
糖(suker) 射(radi) 脂(gras) 秘(sekret) 镜(spegul) 狂(frenez) 辩(advokat) 古(antikv) 矿(min) 队(karavan) 琴(pian) 无(nenio)
分(on) 散(dis) 转(turn) 报(gazet) 主(precip) 板(plank) 酒(vin) 俗(mor) 极(ekstrem) 装(munt) 饼(biskvit) 节(silab)
隔(izol) 旋(spiral) 全(ĉio) 代(anstataŭ) 巨(eg) 使(ig) 信(kred) 学(lern) 动(mov) 整(tut) 市(urb) 风(vent)
封(kovert) 热(hejt) 印(pres) 骗(tromp) 表(esprim) 滑(glat) 会(kongres) 雕(agl) 炉(forn) 管(tub) 魔(diabl) 证(atest)
浸(tremp) 概(probabl) 合(konform) 台(podi) 废(rub) 丑(skandal) 膏(cir) 凸(ĝib) 套(jung) 架(c^arpent) 外(ekster) 粒(er)
现(nun) 减(minus) 形(form) 名(nom) 压(prem) 感(sent) 结(lig) 切(tranĉ) 存(ekzist) 教(instru) 乐(plezur) 斜(klin)
严(serioz) 伴(koleg) 划(strek) 适(taŭg) 伪(fals) 册(kajer) 字(liter) 刺(pik) 敬(respekt) 特(special) 论(diskut) 检(ekzamen)
情(humor) 洞(kav) 省(ŝpar) 舟(boat) 剧(teatr) 调(ton) 械(meĥanik) 操(operaci) 棚(bud) 面(surfac) 排(ekskluziv) 肠(kolbas)
徽(insign) 缩(ful) 穿(tra) 因(pro) 内(en) 前(antaŭ) 期(dum) 过(preter) 成(iĝ) 器(uj) 女(in) 确(ja)
