圏外字	延べ出現	最近傍JIS字	形の近さ	手動対応字	真対の近さ	真対の順位(全JIS)	真対の順位(常用相当)	透明
边	58	辺	0.701	辺	0.701	1	1	yes
邮	58	睇	0.701					判定不能
闭	58	朗	0.649					判定不能
摇	57	揺	0.778					判定不能
组	57	祖	0.731					判定不能
编	57	綸	0.712					判定不能
门	57	囗	0.737					判定不能
伞	55	余	0.611	傘	0.579	6	5	yes
坚	55	堅	0.640					判定不能
层	55	居	0.671	層	0.586	24	8	yes
疗	55	疔	0.743	療	0.516	133	20	no
觉	55	党	0.664					判定不能
评	55	怦	0.680					判定不能
软	55	欣	0.681					判定不能
备	54	各	0.718					判定不能
蓝	54	蓋	0.668					判定不能
补	54	朴	0.700					判定不能
举	53	挙	0.670					判定不能
货	53	貨	0.678					判定不能
轨	53	軌	0.663					判定不能
闪	53	囚	0.771					判定不能
诱	52	邇	0.624					判定不能
鸡	52	鳴	0.646	鶏	0.571	49	5	yes
击	51	出	0.683					判定不能
猎	51	猫	0.718					判定不能
银	51	根	0.744	銀	0.687	6	2	yes
织	50	枳	0.687	織	0.512	1305	184	no
题	50	題	0.746					判定不能
总	49	息	0.676					判定不能
荡	49	茵	0.658					判定不能
赞	49	贊	0.644					判定不能
选	49	透	0.687					判定不能
纯	48	純	0.676	純	0.676	1	1	yes
废	47	唐	0.678					判定不能
态	47	悉	0.647					判定不能
读	47	懍	0.618					判定不能
资	47	資	0.706					判定不能
辩	47	辨	0.695					判定不能
验	47	胯	0.615					判定不能
鹰	47	鷹	0.715	鷹	0.715	1	1	yes
专	45	妾	0.568					判定不能
亲	45	余	0.688					判定不能
发	45	友	0.685	発	0.455	4011	638	no
录	45	余	0.634					判定不能
订	45	灯	0.740					判定不能
许	45	忤	0.705					判定不能
问	45	向	0.694					判定不能
创	44	伽	0.665					判定不能
喷	44	噴	0.708					判定不能
实	44	実	0.641	実	0.641	1	1	yes
岁	44	雇	0.575					判定不能
竞	44	竟	0.723					判定不能
药	44	葯	0.777	薬	0.538	488	57	no
视	44	視	0.747					判定不能
贝	44	央	0.606	貝	0.603	3	2	yes
钩	44	鈎	0.699					判定不能
块	43	決	0.739					判定不能
骗	43	蝙	0.714					判定不能
军	42	率	0.604	軍	0.568	17	8	yes
开	42	廾	0.758					判定不能
济	42	済	0.685					判定不能
绳	42	捕	0.665	縄	0.640	2	2	yes
试	42	拭	0.654					判定不能
饮	42	炊	0.694					判定不能
